class,question,side,guess
211,15,elder,30
152,15,older,28
152,15,Older,32
152,15,older,26
152,15,older,38
152,15,older,30
152,15,Older,35
152,15,older,35
152,15,older,32
152,15,Older,29
211,15,older,27
211,15,older,25
211,15,older,32
211,15,older,29
211,15,older,30
211,15,older,35
211,15,Older,27
211,15,older,34
211,15,older,32
211,15,Older,20
211,15,Older,33
211,15,older ,27
211,15,Older ,40
211,15,Older than,33
211,15,Older than 15 years old,45
211,15,older than 15 years old,26
152,15,older?,34
211,15,older than 15,17
211,15,Older,20
211,15,older,28
211,15,older,29
211,15,older,30
211,15,older,30
211,15,older,30
211,15,older,31
211,15,Older,35
211,15,Older,35
152,15,older than 15 years old,25
152,15,Older than 15 years old,31
152,15,older than,30
152,15,Older,28
152,15,Older,31
152,15,older,31
152,15,Older,40
152,15,Older,35
152,65,younger,25
152,65,younger,39
152,65,Younger,28
152,65,Younger,47
152,65,Younger,35
152,65,Younger,35
152,65,Younger,35
152,65,Younger,39
211,65,Younger,30
211,65,younger,33
211,65,younger,33
211,65,younger,32
211,65,Younger,32
211,65,younger,28
211,65,Younger,40
211,65,Younger,26
211,65,Younger,35
211,65,younger,34
211,65,younger,29
211,65,Younger,28
211,65,younger,34
211,65,Younger,34
211,65,younger,29
211,65,younger,35
211,65,younger ,28
211,65,younger than 65,35
152,65,younger than 65 years old,35
211,65,Younger than 65 years old,38
152,65,Younger than 65 years old.,25
211,65,younger than 65 yeas old,35
211,65,younger,35
211,65,Younger,30
211,65,younger,29
211,65,younger,30
211,65,younger,32
211,65,younger than 65,38
211,65,Absolutely younger!,32
211,65,younger,42
211,65,younger,30
211,65,younger,36
211,65,yes,33
211,65,younger,45
152,65,less,50
152,65,Younger than 65 years old ,36
152,65,younger than 65 years old,48
152,65,Younger,28
152,65,younger,30
152,65,younger,32
152,65,younger,33
152,65,younger,35
152,65,Younger,37
152,65,younger,45
