state,name,mean_work_travel_2010,mean_work_travel_2017,delta_work_travel
Alabama,Autauga County,25.1,25.8,0.7
Alabama,Baldwin County,25.8,27,1.2
Alabama,Barbour County,23.8,23.4,-0.4
Alabama,Bibb County,28.3,30,1.7
Alabama,Blount County,33.2,35,1.8
Alabama,Bullock County,28.1,29.8,1.7
Alabama,Butler County,25.1,23.2,-1.9
Alabama,Calhoun County,22.1,24.8,2.7
Alabama,Chambers County,23.6,23.6,0
Alabama,Cherokee County,26.2,26.5,0.3
Alabama,Chilton County,32,32.5,0.5
Alabama,Choctaw County,34.8,32.7,-2.1
Alabama,Clarke County,25.1,23.9,-1.2
Alabama,Clay County,27.3,30.3,3
Alabama,Cleburne County,29.1,33.2,4.1
Alabama,Coffee County,20.7,21.7,1
Alabama,Colbert County,22.7,23.1,0.4
Alabama,Conecuh County,25.2,29.6,4.4
Alabama,Coosa County,30.2,29.8,-0.4
Alabama,Covington County,20.8,25.2,4.4
Alabama,Crenshaw County,27.4,28.6,1.2
Alabama,Cullman County,27.4,26.5,-0.9
Alabama,Dale County,20,20.7,0.7
Alabama,Dallas County,24.7,22.1,-2.6
Alabama,DeKalb County,23.1,23.2,0.1
Alabama,Elmore County,27.5,28,0.5
Alabama,Escambia County,24.6,22.6,-2
Alabama,Etowah County,23.6,24,0.4
Alabama,Fayette County,27.2,27.9,0.7
Alabama,Franklin County,24.4,28.4,4
Alabama,Geneva County,26.1,27.2,1.1
Alabama,Greene County,25.1,29.7,4.6
Alabama,Hale County,28,29.9,1.9
Alabama,Henry County,23.3,25.6,2.3
Alabama,Houston County,19.7,21.3,1.6
Alabama,Jackson County,26.2,25.7,-0.5
Alabama,Jefferson County,23.3,23.8,0.5
Alabama,Lamar County,25.5,28.1,2.6
Alabama,Lauderdale County,23.5,24.1,0.6
Alabama,Lawrence County,26.1,28,1.9
Alabama,Lee County,20.3,22.2,1.9
Alabama,Limestone County,25,25.7,0.7
Alabama,Lowndes County,35.4,30.3,-5.1
Alabama,Macon County,22.8,22.5,-0.3
Alabama,Madison County,20.8,21.3,0.5
Alabama,Marengo County,21.1,25.5,4.4
Alabama,Marion County,23.7,23.2,-0.5
Alabama,Marshall County,24.4,23.9,-0.5
Alabama,Mobile County,24.1,24.8,0.7
Alabama,Monroe County,23.4,24.7,1.3
Alabama,Montgomery County,19.7,20.3,0.6
Alabama,Morgan County,22.9,24.1,1.2
Alabama,Perry County,29.1,26.1,-3
Alabama,Pickens County,29.9,29.5,-0.4
Alabama,Pike County,19.5,20.4,0.9
Alabama,Randolph County,26.9,26.3,-0.6
Alabama,Russell County,22.3,24.1,1.8
Alabama,St. Clair County,30.1,29.7,-0.4
Alabama,Shelby County,29,28,-1
Alabama,Sumter County,23.8,26.1,2.3
Alabama,Talladega County,24.6,24.8,0.2
Alabama,Tallapoosa County,23.7,25.2,1.5
Alabama,Tuscaloosa County,20.3,22.3,2
Alabama,Walker County,28.8,29.2,0.4
Alabama,Washington County,32.1,35.2,3.1
Alabama,Wilcox County,25,25,0
Alabama,Winston County,25.2,27.8,2.6
Alaska,Aleutians East Borough,4.3,5.1,0.8
Alaska,Aleutians West Census Area,4.6,7.8,3.2
Alaska,Anchorage Municipality,18.2,18.9,0.7
Alaska,Bethel Census Area,7,7.4,0.4
Alaska,Bristol Bay Borough,8.7,9.4,0.7
Alaska,Denali Borough,12.8,16.1,3.3
Alaska,Dillingham Census Area,9.2,8.6,-0.6
Alaska,Fairbanks North Star Borough,18,18.9,0.9
Alaska,Haines Borough,12.9,7.1,-5.8
Alaska,Hoonah Angoon Census Area,9.7,9.7,0
Alaska,Juneau City and Borough,15.3,15.6,0.3
Alaska,Kenai Peninsula Borough,18.4,20,1.6
Alaska,Ketchikan Gateway Borough,14.2,13.4,-0.8
