DATE,PRCP,TMAX,TMIN,year,month,day
1949-01-01,0,35,26,1949,1,1
1949-01-02,0.03,40,22,1949,1,2
1949-01-03,0,40,17,1949,1,3
1949-01-04,0,42,20,1949,1,4
1949-01-05,0,41,28,1949,1,5
1949-01-06,0.03,49,37,1949,1,6
1949-01-07,0.52,46,26,1949,1,7
1949-01-08,0,30,18,1949,1,8
1949-01-09,0,32,13,1949,1,9
1949-01-10,0,30,12,1949,1,10
1949-01-11,0,37,17,1949,1,11
1949-01-12,0,36,19,1949,1,12
1949-01-13,0,41,19,1949,1,13
1949-01-14,0,36,25,1949,1,14
1949-01-15,0,46,28,1949,1,15
1949-01-16,0,43,26,1949,1,16
1949-01-17,0.03,43,33,1949,1,17
1949-01-18,0.02,35,29,1949,1,18
1949-01-19,0,35,24,1949,1,19
1949-01-20,0,30,20,1949,1,20
1949-01-21,0.03,35,22,1949,1,21
1949-01-22,0.01,33,21,1949,1,22
1949-01-23,0,30,16,1949,1,23
1949-01-24,0,29,17,1949,1,24
1949-01-25,0,39,17,1949,1,25
1949-01-26,0.1,31,26,1949,1,26
1949-01-27,0,35,24,1949,1,27
1949-01-28,0,41,16,1949,1,28
1949-01-29,0,40,26,1949,1,29
1949-01-30,0,38,28,1949,1,30
1949-01-31,0,37,29,1949,1,31
1949-02-01,0,37,23,1949,2,1
1949-02-02,0.1,33,25,1949,2,2
1949-02-03,0.03,35,27,1949,2,3
1949-02-04,0.11,33,24,1949,2,4
1949-02-05,0.06,35,21,1949,2,5
1949-02-06,0.06,37,31,1949,2,6
1949-02-07,0,38,31,1949,2,7
1949-02-08,0,41,33,1949,2,8
1949-02-09,0.43,43,34,1949,2,9
1949-02-10,0.96,43,30,1949,2,10
1949-02-11,0.02,37,27,1949,2,11
1949-02-12,0,32,21,1949,2,12
1949-02-13,0,34,18,1949,2,13
1949-02-14,0.18,38,30,1949,2,14
1949-02-15,0.12,42,33,1949,2,15
1949-02-16,1.83,48,41,1949,2,16
1949-02-17,0.07,46,33,1949,2,17
1949-02-18,0.01,40,31,1949,2,18
1949-02-19,0.32,33,29,1949,2,19
1949-02-20,0.15,39,26,1949,2,20
1949-02-21,0.97,47,36,1949,2,21
