fips,state,name,delta_pct_bachelors,delta_median_hh_income,delta_unempl_rate,delta_median_age,delta_pct_white,delta_pct_black,pct_asain
1001,Alabama,Autauga County,4.9,5476,0.19,2,-1.7,1.3,0.1
1003,Alabama,Baldwin County,5.1,8173,0.9,2,0.5,-0.1,0.2
1005,Alabama,Barbour County,-1.9,-694,3.11,2.4,-1.2,0.7,0.1
1007,Alabama,Bibb County,0.4,5772,2.92,2.6,1,0.3,0
1009,Alabama,Blount County,0.6,3809,-0.09,2.4,2.9,0.3,0.2
1011,Alabama,Bullock County,0.1,6183,-5.34,1.5,-1.1,4.6,0.3
1013,Alabama,Butler County,5.1,10029,0.85,1.1,-2.6,2,-0.5
1015,Alabama,Calhoun County,2.4,8848,3.28,1.5,-1.2,0.2,0.2
1017,Alabama,Chambers County,2.5,10822,-2.49,1.9,-1.1,0.9,0.6
1019,Alabama,Cherokee County,2.3,1229,0.23,2.6,0.2,0,0
1021,Alabama,Chilton County,0.5,7982,3.11,1.5,-0.5,-0.5,0.1
1023,Alabama,Choctaw County,1,4816,2.76,3.1,1,-0.8,0
1025,Alabama,Clarke County,-1.3,9965,5.54,3.6,-1.5,1.9,0.1
1027,Alabama,Clay County,1.1,5250,0.07,2,1.5,0.8,0
1029,Alabama,Cleburne County,7,8664,1.74,3,-0.1,-0.6,-0.2
1031,Alabama,Coffee County,0.7,13384,1.79,1.4,1,0.2,0.1
1033,Alabama,Colbert County,1.7,8455,-0.51,0.8,-1.5,0.1,0.1
1035,Alabama,Conecuh County,3.1,10893,3.28,1.4,-0.6,1.3,0.4
1037,Alabama,Coosa County,2.2,3430,-3.48,4.6,-0.5,2.6,-0.1
1039,Alabama,Covington County,2.2,8337,3.93,1.2,-0.2,1,0.1
1041,Alabama,Crenshaw County,7.3,8023,-0.91,2.2,-1.2,-0.1,-0.1
1043,Alabama,Cullman County,0.1,6351,0.95,1.3,0.4,0.2,0
1045,Alabama,Dale County,0.6,3861,3.05,1.5,-1.7,1,0.3
1047,Alabama,Dallas County,0.4,7816,3.17,2.8,-1.2,1.3,0.3
1049,Alabama,DeKalb County,2.1,5375,-0.57,2.5,0.9,0,-0.2
1051,Alabama,Elmore County,4.9,7763,0.69,1.4,-0.9,1.5,-0.2
1053,Alabama,Escambia County,1.6,4348,6.19,1.7,0.1,0.2,0.1
1055,Alabama,Etowah County,2,8215,0.94,1.4,-0.5,0.8,0.1
1057,Alabama,Fayette County,2.9,5296,1.89,1.3,-1.2,0.4,0.3
1059,Alabama,Franklin County,2.2,9572,-0.71,0.1,0,0.5,0.2
1061,Alabama,Geneva County,4.5,7592,1.75,1,0.3,0.1,0.1
1063,Alabama,Greene County,0.2,1923,5.94,-1,-0.1,-2,-0.2
1065,Alabama,Hale County,4.2,4747,5.34,1.4,-0.3,0.4,0
1067,Alabama,Henry County,2.1,11638,-0.17,2,2.1,-2,0.1
1069,Alabama,Houston County,2.7,6558,2.87,2.1,-0.9,1.1,0.1
1071,Alabama,Jackson County,2,5457,0.48,1.7,0.7,0.2,0.1
1073,Alabama,Jefferson County,4.6,8657,2.14,0.7,-1.2,0.9,0.2
1075,Alabama,Lamar County,2.7,4477,1.35,2.6,0.8,-0.6,0.1
1077,Alabama,Lauderdale County,2,8749,0.08,1.3,0.5,0.4,-0.1
1079,Alabama,Lawrence County,1.9,4370,0.61,2.2,0.4,-0.9,0.1
1081,Alabama,Lee County,4.4,10569,0.96,3.1,-1,0.2,1.7
1083,Alabama,Limestone County,4.9,13004,2.65,1.2,-0.1,1.2,0.3
1085,Alabama,Lowndes County,2,322,1.78,2.3,-0.5,1.1,-0.1
1087,Alabama,Macon County,-0.5,5826,5.59,2.8,0.5,0.6,-0.2
1089,Alabama,Madison County,5.4,9598,1.53,1.4,-0.3,0.3,0.1
1091,Alabama,Marengo County,-1.8,301,2.3,2.1,-0.6,1.9,-0.3
1093,Alabama,Marion County,4,3161,-0.32,2.3,-0.7,-0.2,0
1095,Alabama,Marshall County,4.9,8322,0.66,0.8,5.4,1.1,0.1
1097,Alabama,Mobile County,3.4,6587,1.49,1.6,-1.6,1.2,0.1
1099,Alabama,Monroe County,2.3,206,9.06,3.6,-0.6,0.7,0
1101,Alabama,Montgomery County,2.9,6399,2.09,1.8,-3.7,3.2,0.7
1103,Alabama,Morgan County,3.3,7807,1.39,2.1,0.1,0.9,0
1105,Alabama,Perry County,9.5,-2503,0.76,1.7,-0.8,1.1,-0.2
1107,Alabama,Pickens County,2.6,11568,5.28,1.5,0.4,-1.4,-0.1
1109,Alabama,Pike County,0,8265,2.27,-0.5,-0.3,0.2,0.2
1111,Alabama,Randolph County,4.3,8802,-0.88,3.4,0.6,0.3,0
1113,Alabama,Russell County,5.9,9962,0.03,-0.1,-4.5,1.9,0.6
1115,Alabama,St. Clair County,1.6,9471,1.7,2.1,-0.9,1,0.2
1117,Alabama,Shelby County,3.3,9419,0.49,2.8,-2.9,1.5,0.2
1119,Alabama,Sumter County,8.8,-1018,3.17,-1.3,1,-3.1,1.9
1121,Alabama,Talladega County,3.1,4377,2.1,2.7,-1.4,0.9,0.2
1123,Alabama,Tallapoosa County,2.7,8924,2.9,3.5,0.1,0.8,-0.1
1125,Alabama,Tuscaloosa County,4.5,11015,1.51,1.8,-2.1,2.4,0.4
1127,Alabama,Walker County,1.6,6438,3.78,1.6,-0.6,0.3,0.2
1129,Alabama,Washington County,3.4,4939,1.06,4.3,0.8,-1.4,0.2
1131,Alabama,Wilcox County,-0.7,7523,4.84,3.8,0.5,-3.1,0
1133,Alabama,Winston County,1.7,2103,1.31,2.6,0.5,0.2,0
2013,Alaska,Aleutians East Borough,1.9,14875,-3.75,4,-5.9,-2.8,-16.3
2016,Alaska,Aleutians West Census Area,8,14549,-3.25,-3.4,-6.9,-2.6,11.4
2020,Alaska,Anchorage Municipality,3.1,11924,-0.01,0.6,-3.4,0,1.5
2050,Alaska,Bethel Census Area,-2,1339,5.81,1.5,0.1,0.3,0.2
2060,Alaska,Bristol Bay Borough,6.6,-4192,5,4,4.5,0.6,-0.6
2068,Alaska,Denali Borough,13.6,9219,-5.14,-0.3,-5.4,0.7,1.6
2070,Alaska,Dillingham Census Area,1.9,-3902,3.66,1.3,-0.6,1.4,0.7
2090,Alaska,Fairbanks North Star Borough,4.3,10394,0.53,0.5,-1.6,0,0.5
2100,Alaska,Haines Borough,0.7,10078,-2,-4.9,-1.6,-0.4,0.7
2105,Alaska,Hoonah Angoon Census Area,-6.6,16053,,3.9,-1.1,2.8,1
2110,Alaska,Juneau City and Borough,3.7,12873,-0.51,-0.5,-1.7,0.1,0.8
2122,Alaska,Kenai Peninsula Borough,2.2,8610,-1.08,0.2,-2.1,0.1,0.5
2130,Alaska,Ketchikan Gateway Borough,1.1,11033,0.34,1.4,-1.6,0.2,1.2
2150,Alaska,Kodiak Island Borough,6.2,25063,-0.87,0.4,-0.6,-0.4,3.1
2158,Alaska,Kusilvak Census Area,-3.8,-1201,,,0.9,0.5,-0.1
2164,Alaska,Lake and Peninsula Borough,2.6,3226,10.71,0.1,-2.3,0.5,1.3
2170,Alaska,Matanuska-Susitna Borough,0.8,7790,1.3,7.5,-2,0.2,0.2
2180,Alaska,Nome Census Area,1.2,7149,5.38,2.2,-0.8,0.7,0.7
2185,Alaska,North Slope Borough,3,10789,3.01,9.5,-2,0.5,1
2188,Alaska,Northwest Arctic Borough,0.7,5689,7.55,-15,0.1,0.7,0.4
2195,Alaska,Petersburg Borough,1,7631,,3.3,5,0.6,2.1
2198,Alaska,Prince of Wales-Hyder Census Area,0.5,6651,,1.3,-2.7,0.2,1
2220,Alaska,Sitka City and Borough,4.2,11658,-0.51,2.3,-1,0.4,0.7
2230,Alaska,Skagway,-2.7,406,,4.5,-6.5,4,0.3
2240,Alaska,Southeast Fairbanks Census Area,-0.3,10460,1.91,-2.2,-4,-0.4,1.8
2261,Alaska,Valdez-Cordova Census Area,7.1,19484,-5.05,16.6,-2.2,-0.1,0.4
2275,Alaska,Wrangell,3.2,3505,,7.3,-9.6,-0.2,-0.7
2282,Alaska,Yakutat City and Borough,4.7,5857,-0.42,-1.7,2.7,0.5,0.8
2290,Alaska,Yukon-Koyukuk Census Area,2.1,7701,3.31,0.1,0.5,-0.1,0.4
4001,Arizona,Apache County,2,2324,1.82,3.5,-0.5,0.3,0
4003,Arizona,Cochise County,1.7,4384,1.82,1.4,7,-0.1,0
4005,Arizona,Coconino County,5.1,9950,2.16,-0.1,2.2,0,0.6
4007,Arizona,Gila County,3.7,5944,4.8,3.3,0.1,0.3,0.3
4009,Arizona,Graham County,1.8,9670,3.9,2.1,7.8,0.2,0.1
4011,Arizona,Greenlee County,0.1,14777,0.75,-0.7,14.3,1.1,0
4012,Arizona,La Paz County,3,2496,4.17,4,7.3,0.4,0.2
4013,Arizona,Maricopa County,3.7,9414,1.24,2.3,4.6,0.6,0.7
4015,Arizona,Mohave County,0.9,5802,2.83,5.3,3.3,0.2,0
4017,Arizona,Navajo County,0.9,293,5.97,3.5,-2.2,0,0.1
4019,Arizona,Pima County,2.8,7858,2.51,1.2,1.7,0.1,0.3
4021,Arizona,Pinal County,1.6,6864,1.84,3.6,7.5,-0.2,-0.1
4023,Arizona,Santa Cruz County,3.1,4740,-0.19,1.5,12.2,0.2,0.4
4025,Arizona,Yavapai County,2.2,9161,1.6,5.3,2,0.1,0.2
4027,Arizona,Yuma County,1.7,4903,-4.56,0.7,5.9,0.2,0.1
5001,Arkansas,Arkansas County,1.5,9466,-4.63,-1.3,0.3,1.4,-0.5
5003,Arkansas,Ashley County,-1.4,9810,-3.23,3.1,3.1,-0.4,0
5005,Arkansas,Baxter County,3.4,6654,-0.51,2.1,-0.2,0,0
5007,Arkansas,Benton County,7.5,15928,-1.65,1,5,0.4,1
5009,Arkansas,Boone County,1.6,8397,-0.56,1.7,-0.3,0.1,0
5011,Arkansas,Bradley County,1.6,13276,1.41,0.5,5.6,1.2,-0.1
5013,Arkansas,Calhoun County,4.8,13967,-2.81,4.1,1.7,-0.5,
5015,Arkansas,Carroll County,3.8,11875,-1.11,1.3,2.5,0.6,0.8
5017,Arkansas,Chicot County,3.3,12471,1.65,1.4,2.3,-0.2,0.1
5019,Arkansas,Clark County,4.9,9652,-3.58,0.6,-1.6,0.8,0.2
5021,Arkansas,Clay County,3.8,8167,-4.57,-0.2,-1.6,0.4,-0.1
5023,Arkansas,Cleburne County,1.7,8730,-1.98,3.4,0.1,0.1,0.5
5025,Arkansas,Cleveland County,2.2,9727,-0.99,3.8,0,0.6,-0.1
5027,Arkansas,Columbia County,-1.2,1045,3.28,-1.2,0.6,-0.8,0.4
5029,Arkansas,Conway County,1.8,10102,1.44,2.9,0.9,-0.8,-0.1
5031,Arkansas,Craighead County,3.1,8053,0.19,0.9,-2.4,1.4,0.3
5033,Arkansas,Crawford County,3,6631,-0.68,1.3,-1,0.4,0.5
5035,Arkansas,Crittenden County,3.2,6445,1.98,1.9,-2.6,-3.2,0.1
5037,Arkansas,Cross County,1.8,9766,-2.18,2.5,-1.9,-3.5,-0.5
5039,Arkansas,Dallas County,-0.5,8470,-4.03,2.2,-1.8,1.3,0
5041,Arkansas,Desha County,0.5,2842,-2.88,1.8,0.9,-1.2,0.1
5043,Arkansas,Drew County,3.4,14439,-3.82,0.6,-0.3,0.9,-0.2
5045,Arkansas,Faulkner County,4.2,7540,-1.08,1.3,-2.2,1.2,0.2
5047,Arkansas,Franklin County,0.5,6859,-1.98,-0.2,-1,0.3,-0.1
5049,Arkansas,Fulton County,2.5,4807,1.13,1.7,-0.8,0.2,-0.1
5051,Arkansas,Garland County,1.4,7933,0.01,1,-0.3,0.3,-0.1
5053,Arkansas,Grant County,4,3799,-1.75,1.8,-0.1,0.5,-0.3
5055,Arkansas,Greene County,4.2,8847,0,0.7,-1.7,1.3,0.1
5057,Arkansas,Hempstead County,0.4,7152,-2.78,3.3,-2.1,0.7,-0.3
5059,Arkansas,Hot Spring County,0.8,6739,0.58,1.7,-1,0.6,0.1
5061,Arkansas,Howard County,1.2,1505,0.36,0.4,-4.4,0.3,-0.3
5063,Arkansas,Independence County,2.8,9694,-1.36,0.6,-0.8,-0.1,-0.1
5065,Arkansas,Izard County,0.8,11203,3.62,0.9,-1.8,0.5,-0.3
5067,Arkansas,Jackson County,3.1,6494,0.07,-0.3,-2.1,-4.4,-0.3
5069,Arkansas,Jefferson County,1.5,4728,0.92,2.2,-2.3,1.4,0.2
5071,Arkansas,Johnson County,0.6,7919,-1.52,1.3,4,0.2,1.4
5073,Arkansas,Lafayette County,2.5,4882,-1.78,4.3,-0.7,-1.2,0.1
5075,Arkansas,Lawrence County,6.2,9705,-0.64,1.1,-0.7,0.3,0.1
5077,Arkansas,Lee County,2.2,-813,4.14,2.4,1,0.3,-0.2
5079,Arkansas,Lincoln County,1.1,10859,-5.73,2.8,-0.7,0.6,-0.2
5081,Arkansas,Little River County,0.6,11697,6.14,1.7,-1.6,2.8,0
5083,Arkansas,Logan County,1.6,3915,1.02,0.7,-1.4,0.1,0.6
5085,Arkansas,Lonoke County,4,8337,-0.96,0.9,-1.1,-0.3,0.1
5087,Arkansas,Madison County,0.8,5180,-0.17,4.2,0,0.1,0.8
5089,Arkansas,Marion County,2.3,2610,-0.8,3.5,-1,0.3,0.7
5091,Arkansas,Miller County,4.1,3064,2.04,2.3,-1.8,0.3,-0.1
5093,Arkansas,Mississippi County,2.8,6555,0.13,2,-1.3,-0.3,0.1
5095,Arkansas,Monroe County,0.4,8504,-0.3,4.1,-1.7,2.1,0
5097,Arkansas,Montgomery County,3.4,36,1.52,4.4,-2.3,0.1,-0.1
5099,Arkansas,Nevada County,3.9,-333,0.42,4.4,-3.1,3.8,-0.3
5101,Arkansas,Newton County,8.3,10641,-1.26,4.2,-1.9,-0.1,0.4
5103,Arkansas,Ouachita County,1.3,4166,0.53,1,0,1.5,-0.3
5105,Arkansas,Perry County,2.2,5032,0.26,2.5,1,-1.2,-0.2
5107,Arkansas,Phillips County,1.7,1959,2.85,2.9,1.1,0.1,-0.3
5109,Arkansas,Pike County,4.9,7595,-2.15,4,0.9,1.2,0.1
5111,Arkansas,Poinsett County,2.3,8654,-1.34,0.8,-1.5,-2.6,-0.1
5113,Arkansas,Polk County,4.1,5449,4.19,0.7,-1.1,0.2,-0.2
5115,Arkansas,Pope County,2.7,3621,0.85,0.2,1.7,0.1,0
5117,Arkansas,Prairie County,3.9,7314,-0.63,3.7,-0.7,0.2,0.1
5119,Arkansas,Pulaski County,3.6,6628,-0.33,1.5,-1.6,1.8,0.2
5121,Arkansas,Randolph County,2.7,6996,-6.06,-0.9,-1.3,0.4,-0.1
5123,Arkansas,St. Francis County,-0.1,8329,-4.01,2,-3.2,1.6,0.1
5125,Arkansas,Saline County,4.1,12910,-0.88,1,-2.1,2.4,0.4
5127,Arkansas,Scott County,0.3,-325,3.29,-0.3,1,-0.3,-2.7
5129,Arkansas,Searcy County,2.7,7627,-1.48,2.7,-2.8,0.5,0.6
5131,Arkansas,Sebastian County,3.4,6746,-1.34,1.1,-3.1,0.4,0.4
5133,Arkansas,Sevier County,3.5,13321,1.39,1.1,-7.1,0.5,0
5135,Arkansas,Sharp County,-2.3,3536,-2.62,1.5,-1,0.3,-0.2
5137,Arkansas,Stone County,3.5,7808,0.52,3.6,-0.3,0,0.1
5139,Arkansas,Union County,5,8199,-2.14,0.5,0.8,-0.3,0.2
