state,name,delta_population,delta_median_hshld_income,delta_median_age,delta_pct_white,delta_pct_bachelors,delta_pct_poverty
Alabama,Autauga County,11833,2062,1.6,-1.78,3.3,3.1
Alabama,Baldwin County,72213,2415,1.6,-0.42,3.9,-0.4
Alabama,Barbour County,-3768,149,1.7,-1.06,-1.5,2.2
Alabama,Bibb County,1842,1634,1.5,-0.38,3.2,2.6
Alabama,Blount County,6989,1863,2.6,-1.53,0.6,2.2
Alabama,Bullock County,-1405,-1947,2.1,-0.29,1.4,3.2
Alabama,Butler County,-1574,5667,1,-1.85,5.1,-0.6
Alabama,Calhoun County,2479,5279,1,-0.88,1.8,-0.9
Alabama,Chambers County,-2870,5875,2.9,-1.91,2.5,-1.5
Alabama,Cherokee County,1869,-649,2.2,-0.32,2,-1.5
Alabama,Chilton County,4474,4015,1.7,-0.73,2.9,1
Alabama,Choctaw County,-2977,1046,2.6,0.66,0.7,3.6
Alabama,Clarke County,-3784,6388,3.3,-0.98,-0.5,-3.9
Alabama,Clay County,-887,1692,2.5,-0.1,0.8,0.3
Alabama,Cleburne County,777,1319,1.6,-0.54,4,2
Alabama,Coffee County,8259,7568,1.4,-1.3,0.6,-1.1
Alabama,Colbert County,-484,5867,0.9,-0.83,2.4,1.1
Alabama,Conecuh County,-1620,3490,1.1,-0.8,-0.9,-4.2
Alabama,Coosa County,-1448,-768,2.1,-0.63,0.4,-1.6
Alabama,Covington County,-539,5615,1.3,-0.62,2.4,-1.4
Alabama,Crenshaw County,206,3797,1.9,-0.9,6.2,-0.1
Alabama,Cullman County,5272,2430,1.1,-0.37,1.1,-0.3
Alabama,Dale County,97,1358,1.3,-1.64,-0.7,4.8
Alabama,Dallas County,-7150,4036,2.5,-1.16,-0.1,0.1
Alabama,DeKalb County,7165,3777,2,-0.82,2.1,1.5
Alabama,Elmore County,15803,1853,1.2,-1.58,2.6,1.1
Alabama,Escambia County,-993,3099,1.3,-1.07,1.2,-0.6
Alabama,Etowah County,-704,5642,0.9,-1,1.1,1.1
Alabama,Fayette County,-2027,1981,1.2,-0.97,5.1,0.2
Alabama,Franklin County,272,5559,-0.8,-1.92,1.6,3.5
Alabama,Geneva County,657,5153,0.5,-0.71,3.1,6.2
Alabama,Greene County,-1644,-1268,0.1,-0.2,1.5,8
Alabama,Hale County,-2373,5380,0.7,0.11,4.4,1.5
Alabama,Henry County,837,7190,1.1,0.91,2.1,-1.4
Alabama,Houston County,15559,1781,1.6,-1.5,1.9,1.7
Alabama,Jackson County,-2017,2969,1.6,-0.78,1.4,1.5
Alabama,Jefferson County,-2850,4077,0.6,-1.32,3.1,2.1
Alabama,Lamar County,-1958,2129,2.3,-0.08,4.1,4.6
Alabama,Lauderdale County,4572,5543,1.8,-0.6,1,-1.4
Alabama,Lawrence County,-1754,3263,1.8,-0.32,-0.5,3
Alabama,Lee County,46512,6670,2.2,-2.2,4,2.8
Alabama,Limestone County,28726,6149,0.6,-1.51,3.8,1.3
Alabama,Lowndes County,-3397,71,1,-0.83,1,2.9
Alabama,Macon County,-5350,4764,2.2,0.26,-0.8,-1.5
Alabama,Madison County,84346,5467,1.1,-0.95,3.2,1.6
Alabama,Marengo County,-3164,-685,2,-0.58,-2.5,2.9
Alabama,Marion County,-1381,2950,2.1,-0.65,4.6,-0.2
Alabama,Marshall County,13317,3443,0.8,-2.13,3.2,1.1
Alabama,Mobile County,14112,4806,1,-1.56,3.2,0.1
Alabama,Monroe County,-2997,-4199,2,-0.24,1.3,8.3
Alabama,Montgomery County,3136,2820,1.3,-3.21,1.8,1.9
Alabama,Morgan County,7754,3180,1.6,-1.13,1.8,1.6
Alabama,Perry County,-2522,-2977,2.4,-0.33,3.6,13.1
Alabama,Pickens County,-773,7940,1.4,-1.69,0.3,-4
Alabama,Pike County,3662,6503,-0.3,-1.04,1,-2.3
Alabama,Randolph County,290,4892,2.7,-0.14,2.4,-2.8
Alabama,Russell County,7289,6507,-1.1,-4.3,5,-2.4
Alabama,St. Clair County,23457,4646,1.9,-1.06,1.5,3.1
Alabama,Shelby County,70312,5683,2,-1.69,2.6,0.9
Alabama,Sumter County,-2111,-3675,-1,0.59,5.4,1.2
Alabama,Talladega County,-256,2271,2,-1.38,1.7,0.9
Alabama,Tallapoosa County,-794,5277,2.1,-0.4,2.5,3.7
Alabama,Tuscaloosa County,42936,8202,1.1,-2.6,4,-2.4
Alabama,Walker County,-6655,1681,1.8,-1.01,1.4,2.9
Alabama,Washington County,-1566,5754,4.1,-0.07,1.4,2.3
Alabama,Wilcox County,-2464,3521,3.8,0.3,-1.2,-6.6
Alabama,Winston County,-1121,1677,2,-0.79,1.8,-1.9
Alaska,Aleutians East Borough,673,12232,4.2,1.96,1.9,6.3
Alaska,Aleutians West Census Area,298,12275,-4.3,-6.59,7.2,-5.1
Alaska,Anchorage Municipality,34073,9267,0.1,-3.41,1.6,0.2
Alaska,Bethel Census Area,2070,1639,1.1,-0.73,-1.3,8.4
Alaska,Bristol Bay Borough,-391,-4500,2.9,2.57,4.4,2.1
Alaska,Denali Borough,181,10795,-4,-5.68,17,10.9
Alaska,Dillingham Census Area,10,-2092,1.2,-1.36,-2.8,-1.5
Alaska,Fairbanks North Star Borough,16863,9652,0.2,-3.02,6,0.1
Alaska,Haines Borough,134,22659,-4.6,-3.25,1.6,1.2
Alaska,Hoonah-Angoon Census Area,,14150,3.2,-2.63,-6,-4.8
Alaska,Juneau City and Borough,1383,15232,-0.6,-1.99,5.6,0.9
Alaska,Kenai Peninsula Borough,8926,7825,0,-1.81,1.7,1.5
Alaska,Ketchikan Gateway Borough,-214,5626,1.2,-1.78,-0.1,2.3
Alaska,Kodiak Island Borough,-465,13391,-0.4,-2.39,2.3,-1.6
Alaska,Kusilvak Census Area,1174,,,,,
Alaska,Lake and Peninsula Borough,-203,4299,-2.4,-0.45,2.5,-4.9
Alaska,Matanuska-Susitna Borough,47210,7184,7.2,-2.88,-0.2,-0.1
Alaska,Nome Census Area,725,-78,1.8,-1.05,-0.9,0.3
Alaska,North Slope Borough,2397,8749,8.9,-1.12,1.8,-1.6
Alaska,Northwest Arctic Borough,476,6316,-16.2,0.1,-1.7,5.6
Alaska,Petersburg Borough,-3403,1173,2.2,-2.25,-0.9,-1.9
Alaska,Prince of Wales-Hyder Census Area,297,6386,1,-4.32,-1,2
Alaska,Sitka City and Borough,-146,8741,1.7,-1.09,3.7,2.2
Alaska,Skagway Municipality,,-2827,7,-11.49,-0.1,-5.2
Alaska,Southeast Fairbanks Census Area,714,4270,-2.4,-3.77,-0.5,3.9
Alaska,Valdez-Cordova Census Area,-917,25636,18.5,-1.88,9,0.5
Alaska,Wrangell City and Borough,,5705,7,-7.26,3.2,3.4
Alaska,Yakutat City and Borough,-203,-1167,0.8,3.2,1.7,1.9
Alaska,Yukon-Koyukuk Census Area,-1186,4107,-0.4,-0.45,0.9,1.9
Arizona,Apache County,2183,2176,2.7,-1.95,1.2,1.5
Arizona,Cochise County,7001,2971,0.8,-2.85,2.2,2.4
Arizona,Coconino County,24456,4013,-0.2,-0.91,4.3,2.4
Arizona,Gila County,2166,3599,2.4,-3.13,4,3
Arizona,Graham County,3977,6490,1.6,-1.13,0.7,1.4
Arizona,Greenlee County,908,7602,-1.8,-0.52,-1.3,-2
Arizona,La Paz County,886,4332,3.5,-3.97,2.2,-0.6
Arizona,Maricopa County,1234884,3526,1.9,-2.39,2.4,1.8
Arizona,Mohave County,52168,1782,4.1,-1.58,0.3,2.5
Arizona,Navajo County,11486,-976,2.1,-2.26,1.1,4.7
Arizona,Pima County,179023,3155,0.9,-2.68,2,1.9
Arizona,Pinal County,250510,1318,2.8,-1.26,0.7,2
Arizona,Santa Cruz County,7831,3111,1.4,-0.96,4.8,-3.4
Arizona,Yavapai County,60651,4969,4.1,-1.1,1.3,1
Arizona,Yuma County,47508,2913,0.2,-3.48,1,-1.2
Arkansas,Arkansas County,-2782,1302,-1.1,-0.85,-0.2,1.8
Arkansas,Ashley County,-3926,1473,3.2,-0.19,-0.3,2.8
Arkansas,Baxter County,2969,4466,1.7,-0.9,3.9,-2.9
Arkansas,Benton County,112894,10837,0.8,-2.38,5.8,-1.2
Arkansas,Boone County,3433,3750,1.6,-0.96,1.7,-0.2
Arkansas,Bradley County,-1736,6402,0.5,-2.12,1.7,-4
Arkansas,Calhoun County,-497,4775,4.8,-0.8,5.7,7.7
Arkansas,Carroll County,2587,5451,0.9,-3.4,1.9,-1.5
Arkansas,Chicot County,-3481,10736,1.4,-1.16,0.6,-4.7
Arkansas,Clark County,-1253,5176,0.7,-1.32,4.7,-2.3
Arkansas,Clay County,-2689,3153,0.4,-1.13,1.9,3.6
Arkansas,Cleburne County,1002,6559,2.9,-1.08,2.1,-2
Arkansas,Cleveland County,-369,7883,3.5,-0.4,3,4.2
Arkansas,Columbia County,-1976,1924,-0.7,0.16,0.7,2.2
Arkansas,Conway County,580,6938,1.6,-0.61,2,1.5
Arkansas,Craighead County,24967,6439,0.7,-2.26,3.4,-1.1
Arkansas,Crawford County,9749,3307,1.4,-1.75,1.5,-1.7
Arkansas,Crittenden County,-2116,4842,1.7,-2.02,2.7,-3.9
Arkansas,Cross County,-2663,4060,2.3,-1.74,1.2,1.3
Arkansas,Dallas County,-1817,6192,2,-0.88,1.7,-4.5
Arkansas,Desha County,-3577,-2015,1.9,-1.07,-1,5
Arkansas,Drew County,-176,3534,-0.3,-1.07,-0.9,0.8
Arkansas,Faulkner County,37640,5029,0.8,-1.76,3.3,1
Arkansas,Franklin County,119,7408,0,-1.38,-0.3,4.1
Arkansas,Fulton County,413,5453,1.4,-0.84,2.4,2.7
Arkansas,Garland County,10590,4828,0.7,-1.42,-0.1,1.4
Arkansas,Grant County,1701,-1621,0.7,-1.09,4.3,5.6
Arkansas,Greene County,7722,7357,0.4,-1.53,4.1,-0.5
Arkansas,Hempstead County,-1726,2993,1.8,-1.31,-1.6,2.1
Arkansas,Hot Spring County,3221,3476,2.1,-1.3,1.3,3.5
Arkansas,Howard County,-822,297,-0.3,-2.44,2.9,-1
Arkansas,Independence County,3271,5320,1.1,-0.64,3.3,-0.8
Arkansas,Izard County,437,7462,1,-1.47,0.6,-1
Arkansas,Jackson County,-1283,5168,0.5,-1.57,2.2,-0.8
Arkansas,Jefferson County,-15163,1632,2.5,-1.81,0.3,2.1
Arkansas,Johnson County,3771,5166,0.7,-3.15,0.9,3.1
Arkansas,Lafayette County,-1697,4985,3.1,-0.62,1.7,3.9
Arkansas,Lawrence County,-1249,7315,2.3,-0.93,6.3,-6.1
Arkansas,Lee County,-3404,-2593,1.8,-0.72,-0.1,-1.5
Arkansas,Lincoln County,-846,3136,2.4,-1.25,-0.7,-7.9
Arkansas,Little River County,-1269,3547,1.3,-1.4,-1.6,0.3
Arkansas,Logan County,-764,431,0.9,-1.38,0.3,5.9
Arkansas,Lonoke County,20070,6533,0.5,-1.37,3.5,-0.3
Arkansas,Madison County,2096,6392,4,-1.74,-1.8,-1
Arkansas,Marion County,288,2004,3.1,-1.23,1.2,4
Arkansas,Miller County,3541,1555,1.3,-1.17,3.1,2.9
Arkansas,Mississippi County,-9820,3010,1.5,-1.78,1.2,0.1
Arkansas,Monroe County,-3169,1620,2.9,-1.43,-3,6.1
Arkansas,Montgomery County,-326,-453,4,-1.86,2.2,-1.7
Arkansas,Nevada County,-1628,-1380,3.9,-1.74,6.3,3
Arkansas,Newton County,-780,10693,4,-0.48,3.5,-4.7
Arkansas,Ouachita County,-4922,877,0.8,-0.75,2.1,6.1
Arkansas,Perry County,139,2533,2.5,-1.35,2.4,2.7
Arkansas,Phillips County,-7873,-709,2.2,-0.03,-0.8,0.6
Arkansas,Pike County,-577,4087,2.7,-0.64,2.5,-3.4
Arkansas,Poinsett County,-1460,5220,0.4,-1.6,1,-4.4
Arkansas,Polk County,-111,1345,0.6,-1.77,2.5,6.2
Arkansas,Pope County,9366,827,-0.2,-2.16,2.1,1.6
Arkansas,Prairie County,-1291,5898,2.2,-0.74,2.3,1.6
Arkansas,Pulaski County,32482,3729,1,-2.11,3,0.9
Arkansas,Randolph County,-638,5708,0.2,-0.84,3.4,1.2
Arkansas,St. Francis County,-3399,6083,1.6,-2.01,-1,-2.1
Arkansas,Saline County,35794,7483,0.4,-3.13,2.9,-1.9
Arkansas,Scott County,-551,979,0.2,-0.81,1.2,-3.4
Arkansas,Searcy County,-323,7905,2.1,-1.75,3.9,-5.3
Arkansas,Sebastian County,13036,1450,0.8,-2.36,1.1,4.5
Arkansas,Sevier County,1358,9292,0.8,-2.76,1.3,-1.7
Arkansas,Sharp County,274,657,1.2,-1.13,-2,1.8
Arkansas,Stone County,1038,2711,3,-1.16,3,0.8
Arkansas,Union County,-6180,4642,-0.1,-0.72,4,-1.3
Arkansas,Van Buren County,314,2468,1.5,-0.42,-0.3,-2.9
Arkansas,Washington County,74281,5149,0.9,-2.18,4.5,0.1
Arkansas,White County,11851,4896,0.2,-1.16,3.5,0.9
Arkansas,Woodruff County,-2170,2911,2.4,-0.2,2.4,3.1
Arkansas,Yell County,384,3090,1.8,-1.12,3.4,0.1
California,Alameda County,219449,16359,1.1,-1.89,4.4,-0.1
California,Alpine County,-88,-40,4,-7.91,-4.1,6.7
California,Amador County,3526,5878,3.4,-0.33,3.1,2.6
California,Butte County,26123,3346,-0.3,-2.3,2.5,2.1
California,Calaveras County,5116,-171,3.1,-1.53,-0.3,4.5
California,Colusa County,3001,8465,0.7,-3.49,4,-1
California,Contra Costa County,198623,10071,1.1,-2.87,2.5,0.8
California,Del Norte County,-37,5169,0.8,-1.9,0.1,1.2
California,El Dorado County,32688,4885,2.9,-1.45,2.2,1.9
California,Fresno County,189848,2300,1.4,-2.47,0.4,2.9
California,Glenn County,1641,3186,1.7,-3.41,-3.2,2.1
