Team,League,Year,wins,runs,on_base,slugging,batting_avg,opp_runs,opp_on_base,opp_slugging
ARI,NL,2012,81,734,0.328,0.418,0.259,688,0.317,0.415
ATL,NL,2012,94,700,0.32,0.389,0.247,600,0.306,0.378
BAL,AL,2012,93,712,0.311,0.417,0.247,705,0.315,0.403
BOS,AL,2012,69,734,0.315,0.415,0.26,806,0.331,0.428
CHC,NL,2012,61,613,0.302,0.378,0.24,759,0.335,0.424
CHW,AL,2012,85,748,0.318,0.422,0.255,676,0.319,0.405
CIN,NL,2012,97,669,0.315,0.411,0.251,588,0.305,0.39
CLE,AL,2012,68,667,0.324,0.381,0.251,845,0.336,0.43
COL,NL,2012,64,758,0.33,0.436,0.274,890,0.357,0.47
DET,AL,2012,88,726,0.335,0.422,0.268,670,0.314,0.402
HOU,NL,2012,55,583,0.302,0.371,0.236,794,0.337,0.427
KCR,AL,2012,72,676,0.317,0.4,0.265,746,0.339,0.423
LAA,AL,2012,89,767,0.332,0.433,0.274,699,0.31,0.403
LAD,NL,2012,86,637,0.317,0.374,0.252,597,0.31,0.364
MIA,NL,2012,69,609,0.308,0.382,0.244,724,0.327,0.399
MIL,NL,2012,83,776,0.325,0.437,0.259,733,0.326,0.414
MIN,AL,2012,66,701,0.325,0.39,0.26,832,0.333,0.442
NYM,NL,2012,74,650,0.316,0.386,0.249,709,0.315,0.401
NYY,AL,2012,95,804,0.337,0.453,0.265,668,0.311,0.419
OAK,AL,2012,94,713,0.31,0.404,0.238,614,0.306,0.378
PHI,NL,2012,81,684,0.317,0.4,0.255,680,0.306,0.407
PIT,NL,2012,79,651,0.304,0.395,0.243,674,0.314,0.39
SDP,NL,2012,76,651,0.319,0.38,0.247,710,0.319,0.398
SEA,AL,2012,75,619,0.296,0.369,0.234,651,0.308,0.394
SFG,NL,2012,94,718,0.327,0.397,0.269,649,0.313,0.393
STL,NL,2012,88,765,0.338,0.421,0.271,648,0.313,0.387
TBR,AL,2012,90,697,0.317,0.394,0.24,577,0.294,0.352
TEX,AL,2012,93,808,0.334,0.446,0.273,707,0.309,0.408
TOR,AL,2012,73,716,0.309,0.407,0.245,784,0.335,0.438
WSN,NL,2012,98,731,0.322,0.428,0.261,594,0.303,0.373
ARI,NL,2011,94,731,0.322,0.413,0.25,662,0.316,0.409
ATL,NL,2011,89,641,0.308,0.387,0.243,605,0.31,0.361
BAL,AL,2011,69,708,0.316,0.413,0.257,860,0.341,0.46
BOS,AL,2011,90,875,0.349,0.461,0.28,737,0.322,0.392
CHC,NL,2011,71,654,0.314,0.401,0.256,756,0.335,0.413
CHW,AL,2011,79,654,0.319,0.388,0.252,706,0.317,0.397
CIN,NL,2011,79,735,0.326,0.408,0.256,720,0.325,0.415
CLE,AL,2011,80,704,0.317,0.396,0.25,760,0.323,0.413
COL,NL,2011,73,735,0.329,0.41,0.258,774,0.331,0.431
DET,AL,2011,95,787,0.34,0.434,0.277,711,0.321,0.396
FLA,NL,2011,72,625,0.318,0.388,0.247,702,0.316,0.401
HOU,NL,2011,56,615,0.311,0.374,0.258,796,0.337,0.432
KCR,AL,2011,71,730,0.329,0.415,0.275,762,0.337,0.425
LAA,AL,2011,86,667,0.313,0.402,0.253,633,0.313,0.388
LAD,NL,2011,82,644,0.322,0.375,0.257,612,0.31,0.371
MIL,NL,2011,96,721,0.325,0.425,0.261,638,0.304,0.385
MIN,AL,2011,63,619,0.306,0.36,0.247,804,0.34,0.435
NYM,NL,2011,77,718,0.335,0.391,0.264,742,0.332,0.411
NYY,AL,2011,97,867,0.343,0.444,0.263,657,0.322,0.399
OAK,AL,2011,74,645,0.311,0.369,0.244,679,0.317,0.378
PHI,NL,2011,102,713,0.323,0.395,0.253,529,0.296,0.361
PIT,NL,2011,72,610,0.309,0.368,0.244,712,0.338,0.409
SDP,NL,2011,71,593,0.305,0.349,0.237,611,0.314,0.375
SEA,AL,2011,67,556,0.292,0.348,0.233,675,0.31,0.386
SFG,NL,2011,86,570,0.303,0.368,0.242,578,0.309,0.346
STL,NL,2011,90,762,0.341,0.425,0.273,692,0.319,0.398
TBR,AL,2011,91,707,0.322,0.402,0.244,614,0.303,0.383
TEX,AL,2011,96,855,0.34,0.46,0.283,677,0.307,0.392
TOR,AL,2011,81,743,0.317,0.413,0.249,761,0.328,0.419
WSN,NL,2011,80,624,0.309,0.383,0.242,643,0.319,0.382
ARI,NL,2010,65,713,0.325,0.416,0.25,836,0.34,0.448
ATL,NL,2010,91,738,0.339,0.401,0.258,629,0.314,0.376
BAL,AL,2010,66,613,0.316,0.386,0.259,785,0.336,0.434
BOS,AL,2010,89,818,0.339,0.451,0.268,744,0.327,0.399
CHC,NL,2010,75,685,0.32,0.401,0.257,767,0.334,0.398
CHW,AL,2010,88,752,0.332,0.42,0.268,704,0.325,0.395
CIN,NL,2010,91,790,0.338,0.436,0.272,685,0.323,0.396
CLE,AL,2010,69,646,0.322,0.378,0.248,752,0.342,0.416
COL,NL,2010,83,770,0.336,0.425,0.263,717,0.326,0.397
DET,AL,2010,81,751,0.335,0.415,0.268,743,0.332,0.4
FLA,NL,2010,80,719,0.321,0.403,0.254,717,0.331,0.398
HOU,NL,2010,76,611,0.303,0.362,0.247,729,0.33,0.402
KCR,AL,2010,67,676,0.331,0.399,0.274,845,0.342,0.435
LAA,AL,2010,80,681,0.311,0.39,0.248,702,0.327,0.403
LAD,NL,2010,80,667,0.322,0.379,0.252,692,0.316,0.378
MIL,NL,2010,77,750,0.335,0.424,0.262,804,0.338,0.427
MIN,AL,2010,94,781,0.341,0.422,0.273,671,0.317,0.417
NYM,NL,2010,79,656,0.314,0.383,0.249,652,0.33,0.394
NYY,AL,2010,95,859,0.35,0.436,0.267,693,0.322,0.399
OAK,AL,2010,81,663,0.324,0.378,0.256,626,0.313,0.379
PHI,NL,2010,97,772,0.332,0.413,0.26,640,0.311,0.405
PIT,NL,2010,57,587,0.304,0.373,0.242,866,0.348,0.449
SDP,NL,2010,90,665,0.317,0.371,0.246,581,0.308,0.368
SEA,AL,2010,61,513,0.298,0.339,0.236,698,0.313,0.401
SFG,NL,2010,92,697,0.321,0.408,0.257,583,0.313,0.37
STL,NL,2010,86,736,0.332,0.402,0.263,641,0.319,0.387
TBR,AL,2010,96,802,0.333,0.403,0.247,649,0.308,0.404
TEX,AL,2010,90,787,0.338,0.419,0.276,687,0.319,0.39
TOR,AL,2010,85,755,0.312,0.454,0.248,728,0.326,0.405
WSN,NL,2010,69,655,0.318,0.39,0.25,742,0.33,0.41
ARI,NL,2009,70,720,0.324,0.418,0.253,782,0.33,0.419
ATL,NL,2009,86,735,0.339,0.405,0.263,641,0.323,0.39
BAL,AL,2009,64,741,0.332,0.415,0.268,876,0.353,0.476
BOS,AL,2009,95,872,0.352,0.454,0.27,736,0.335,0.422
CHC,NL,2009,83,707,0.332,0.407,0.255,672,0.324,0.391
CHW,AL,2009,79,724,0.329,0.411,0.258,732,0.325,0.414
CIN,NL,2009,78,673,0.318,0.394,0.247,723,0.333,0.418
CLE,AL,2009,65,773,0.339,0.417,0.264,865,0.351,0.443
COL,NL,2009,92,804,0.343,0.441,0.261,715,0.328,0.405
DET,AL,2009,86,743,0.331,0.416,0.26,745,0.336,0.422
FLA,NL,2009,87,772,0.34,0.416,0.268,766,0.333,0.408
HOU,NL,2009,74,643,0.319,0.4,0.26,770,0.344,0.44
KCR,AL,2009,65,686,0.318,0.405,0.259,842,0.343,0.422
LAA,AL,2009,97,883,0.35,0.441,0.285,761,0.338,0.432
LAD,NL,2009,95,780,0.346,0.412,0.27,611,0.312,0.361
MIL,NL,2009,80,785,0.341,0.426,0.263,818,0.345,0.45
MIN,AL,2009,87,817,0.345,0.429,0.274,765,0.331,0.431
NYM,NL,2009,70,671,0.335,0.394,0.27,757,0.342,0.418
NYY,AL,2009,103,915,0.362,0.478,0.283,753,0.327,0.408
OAK,AL,2009,75,759,0.328,0.397,0.262,761,0.329,0.413
PHI,NL,2009,93,820,0.334,0.447,0.258,709,0.329,0.427
PIT,NL,2009,62,636,0.318,0.387,0.252,768,0.346,0.442
SDP,NL,2009,75,638,0.321,0.381,0.242,769,0.333,0.406
SEA,AL,2009,85,640,0.314,0.402,0.258,692,0.316,0.394
SFG,NL,2009,88,657,0.309,0.389,0.257,611,0.314,0.372
STL,NL,2009,91,730,0.332,0.415,0.263,640,0.319,0.386
TBR,AL,2009,84,803,0.343,0.439,0.263,754,0.324,0.417
TEX,AL,2009,87,784,0.32,0.445,0.26,740,0.331,0.416
TOR,AL,2009,75,798,0.333,0.44,0.266,771,0.339,0.434
WSN,NL,2009,59,710,0.337,0.406,0.258,874,0.352,0.45
