City,neighborhood,med_rent
Charlotte,Avensong,857
Charlotte,Bradfield Farms,857
Charlotte,Cedarbrook Acres,857
Charlotte,Hickory Grove,857
Charlotte,Lakeland Hills,857
Charlotte,Oak Forest,857
Charlotte,Robinson Church Road,857
Charlotte,Shannon Park,857
Charlotte,Turtle Rock,857
Charlotte,Woodbury,857
Charlotte,Eastland - Wilora Lake,888
Charlotte,Farm Pond,888
Charlotte,Arbor Glen,898
Charlotte,Ashley Park,898
Charlotte,Boulevard Homes,898
Charlotte,Capitol Drive,898
Charlotte,Enderly Park,898
Charlotte,Jackson Homes,898
Charlotte,Lakewood,898
Charlotte,Pinecrest,898
Charlotte,Ponderosa - Wingate,898
Charlotte,Reid Park,898
Charlotte,Revolution Park,898
Charlotte,Seversville,898
Charlotte,Smallwood,898
Charlotte,Todd Park,898
Charlotte,Toddville Road,898
Charlotte,Wesley Heights,898
Charlotte,West Bolevard,898
Charlotte,Westchester,898
Charlotte,Westerly Hills,898
Charlotte,Westover Hills,898
Charlotte,Hickory Ridge,900
Charlotte,Idlewild,900
Charlotte,North Sharon Amity - Reddman Road,900
Charlotte,East Forest,912
Charlotte,Arlington Forest,950
Charlotte,Becton Park,950
Charlotte,Bent Creek,950
Charlotte,Butterfield,950
Charlotte,Clear Creek,950
Charlotte,Clear Meadow,950
Charlotte,Marlwood,950
Charlotte,McGregor,950
Charlotte,Mint Hill Estates,950
Charlotte,Morris Farms,950
Charlotte,Park Walk,950
Charlotte,Persimmon Creek,950
Charlotte,Pleasant Valley,950
Charlotte,Sherwood Forest,950
Charlotte,Waterleaf,950
Charlotte,Eastway - Sheffield Park,971
Charlotte,Double Oaks,989
Charlotte,Druid Hills,989
Charlotte,Genesis Park,989
Charlotte,Greenville,989
Charlotte,J.T. Williams,989
Charlotte,Lockwood,989
Charlotte,Sugaw Creek - Ritch Avenue,989
Charlotte,Tryon Hills,989
Charlotte,Windsor Park,993
Charlotte,Charlotte Douglas International Airport,996
Charlotte,Eagle Lake,1018
Charlotte,Optimist Park,1045
Charlotte,Back Creek Church Road,1053
Charlotte,Hampshire Hills,1053
Charlotte,Briarcreek - Woodland,1054
Charlotte,Chantilly,1054
Charlotte,Coliseum Drive,1054
Charlotte,Commonwealth,1054
Charlotte,Country Club Heights,1054
Charlotte,Echo Hills,1054
Charlotte,North Charlotte,1054
Charlotte,Oakhurst,1054
Charlotte,Plaza - Shamrock,1054
Charlotte,Plaza Hills,1054
