employee_id,satisfaction_level,average_monthly_hours,department,salary
1,0.38,157,sales,low
2,0.8,262,sales,medium
3,0.11,272,sales,medium
4,0.72,223,sales,low
5,0.37,159,sales,low
6,0.41,153,sales,low
7,0.1,247,sales,low
8,0.92,259,sales,low
9,0.89,224,sales,low
10,0.42,142,sales,low
11,0.45,135,sales,low
12,0.11,305,sales,low
13,0.84,234,sales,low
14,0.41,148,sales,low
15,0.36,137,sales,low
16,0.38,143,sales,low
17,0.45,160,sales,low
18,0.78,255,sales,low
19,0.45,160,sales,low
20,0.76,262,sales,low
21,0.11,282,sales,low
22,0.38,147,sales,low
23,0.09,304,sales,low
24,0.46,139,sales,low
25,0.4,158,sales,low
26,0.89,242,sales,low
27,0.82,239,sales,low
28,0.4,135,sales,low
29,0.41,128,accounting,low
30,0.38,132,accounting,low
31,0.09,294,accounting,low
32,0.45,134,hr,low
33,0.4,145,hr,low
34,0.45,140,hr,low
35,0.84,246,hr,low
36,0.1,255,technical,low
37,0.38,137,technical,low
38,0.45,126,technical,low
39,0.11,306,technical,low
40,0.41,152,technical,low
41,0.87,269,technical,low
42,0.45,158,technical,low
43,0.4,127,technical,low
44,0.1,281,technical,low
45,0.09,276,technical,low
46,0.84,182,technical,low
47,0.4,147,support,low
48,0.57,273,support,low
49,0.4,148,support,low
50,0.43,147,support,low
51,0.13,152,support,low
52,0.44,135,support,low
53,0.38,134,support,low
54,0.39,132,support,low
55,0.1,307,support,low
56,0.37,140,support,low
57,0.11,255,support,low
58,0.1,309,technical,low
59,0.38,128,technical,low
60,0.85,225,technical,low
61,0.85,226,management,medium
62,0.11,308,IT,medium
63,0.1,244,IT,medium
64,0.36,132,IT,medium
65,0.11,286,IT,medium
66,0.81,161,IT,medium
67,0.43,153,product_mng,medium
68,0.9,264,product_mng,medium
69,0.76,223,product_mng,medium
70,0.43,135,product_mng,medium
71,0.74,277,IT,medium
72,0.09,275,product_mng,medium
73,0.45,149,product_mng,high
74,0.09,295,product_mng,low
75,0.11,277,product_mng,medium
76,0.11,306,product_mng,medium
77,0.1,295,product_mng,medium
78,0.4,137,marketing,medium
79,0.43,157,sales,low
80,0.39,142,accounting,low
81,0.45,140,support,low
82,0.38,151,technical,low
83,0.79,139,management,low
84,0.84,249,marketing,low
85,0.11,291,marketing,low
86,0.11,305,marketing,low
87,0.17,232,sales,low
88,0.44,132,sales,low
89,0.37,130,sales,low
90,0.1,291,sales,low
91,0.4,130,sales,low
92,0.89,246,sales,low
93,0.42,143,sales,low
94,0.46,129,sales,low
95,0.09,255,sales,low
96,0.37,155,sales,low
97,0.1,265,sales,low
98,0.1,279,sales,low
99,0.11,284,sales,low
100,0.9,221,sales,medium
101,0.38,154,sales,medium
102,0.36,147,sales,medium
103,0.42,150,sales,medium
104,0.09,267,sales,medium
105,0.43,158,sales,medium
106,0.24,224,accounting,medium
107,0.91,257,accounting,medium
108,0.44,148,accounting,medium
109,0.71,177,hr,medium
110,0.4,155,hr,medium
111,0.43,144,hr,medium
112,0.09,289,hr,high
113,0.43,160,technical,low
114,0.9,258,technical,medium
115,0.84,234,technical,medium
116,0.37,137,technical,medium
117,0.86,263,technical,medium
118,0.11,251,technical,low
119,0.37,133,technical,low
120,0.4,132,technical,low
121,0.14,158,technical,low
122,0.4,135,technical,low
123,0.75,216,technical,low
124,0.11,300,support,low
125,0.46,138,support,low
126,0.11,260,support,low
127,0.38,132,support,low
128,0.7,183,support,low
129,0.09,250,support,low
130,0.37,151,support,low
131,0.1,292,support,low
132,0.38,140,support,low
133,0.9,221,support,low
134,0.44,138,support,low
135,0.36,132,technical,low
136,0.31,133,technical,low
137,0.1,283,technical,low
138,0.42,129,management,low
139,0.74,249,IT,low
140,0.73,257,IT,low
141,0.09,245,IT,low
142,0.45,155,IT,low
143,0.11,256,IT,low
144,0.37,152,product_mng,low
145,0.84,267,product_mng,low
146,0.41,151,product_mng,low
147,0.76,239,product_mng,low
148,0.11,306,IT,low
149,0.84,263,marketing,low
150,0.39,147,marketing,low
151,0.11,278,marketing,low
152,0.45,154,marketing,low
153,0.37,143,marketing,low
154,0.4,155,marketing,low
155,0.39,160,sales,low
156,0.11,304,accounting,low
157,0.83,240,support,low
158,0.11,305,technical,low
159,0.39,136,management,low
160,0.45,132,marketing,low
161,0.1,301,marketing,low
162,0.9,243,marketing,low
163,0.45,147,sales,low
164,0.79,239,sales,low
165,0.9,260,sales,low
166,0.11,296,sales,low
167,0.43,129,sales,low
168,0.31,132,sales,low
169,0.32,135,sales,low
170,0.45,158,sales,low
171,0.81,259,sales,low
172,0.41,160,sales,low
173,0.11,278,sales,low
174,0.1,284,sales,low
175,0.7,274,sales,low
176,0.54,164,sales,low
177,0.41,148,sales,low
178,0.38,140,sales,medium
179,0.37,127,sales,medium
180,0.11,308,sales,medium
181,0.4,146,sales,medium
182,0.1,261,accounting,medium
183,0.89,257,accounting,medium
184,0.11,285,accounting,medium
185,0.36,141,hr,medium
186,0.4,127,hr,medium
187,0.09,297,hr,medium
