city,drive,fuelType,highway,make,model,,VClass
19,Rear-Wheel Drive,Regular,25,Alfa Romeo,Spider Veloce 2000,Manual,Two Seaters
9,Rear-Wheel Drive,Regular,14,Ferrari,Testarossa,Manual,Two Seaters
23,Front-Wheel Drive,Regular,33,Dodge,Charger,Manual,Subcompact Cars
10,Rear-Wheel Drive,Regular,12,Dodge,B150/B250 Wagon 2WD,Automatic,Vans
17,4-Wheel or All-Wheel Drive,Premium,23,Subaru,Legacy AWD Turbo,Manual,Compact Cars
21,Front-Wheel Drive,Regular,24,Subaru,Loyale,Automatic,Compact Cars
22,Front-Wheel Drive,Regular,29,Subaru,Loyale,Manual,Compact Cars
23,Front-Wheel Drive,Regular,26,Toyota,Corolla,Automatic,Compact Cars
23,Front-Wheel Drive,Regular,31,Toyota,Corolla,Manual,Compact Cars
23,Front-Wheel Drive,Regular,30,Toyota,Corolla,Automatic,Compact Cars
23,Front-Wheel Drive,Regular,30,Toyota,Corolla,Manual,Compact Cars
18,Front-Wheel Drive,Regular,26,Volkswagen,Golf III / GTI,Automatic,Compact Cars
21,Front-Wheel Drive,Regular,29,Volkswagen,Golf III / GTI,Manual,Compact Cars
18,Front-Wheel Drive,Regular,26,Volkswagen,Jetta III,Automatic,Compact Cars
12,Rear-Wheel Drive,Regular,15,Dodge,B150/B250 Wagon 2WD,Automatic,Vans
20,Front-Wheel Drive,Regular,28,Volkswagen,Jetta III,Manual,Compact Cars
18,Rear-Wheel Drive,Regular,23,Volvo,240,Automatic,Compact Cars
19,Rear-Wheel Drive,Regular,26,Volvo,240,Manual,Compact Cars
17,Front-Wheel Drive,Premium,22,Audi,100,Automatic,Midsize Cars
17,Front-Wheel Drive,Premium,24,Audi,100,Manual,Midsize Cars
14,Rear-Wheel Drive,Premium,20,BMW,740i,Automatic,Midsize Cars
14,Rear-Wheel Drive,Premium,20,BMW,740il,Automatic,Midsize Cars
11,Rear-Wheel Drive,Regular,17,BMW,750il,Automatic,Midsize Cars
21,Front-Wheel Drive,Regular,28,Buick,Century,Automatic,Midsize Cars
17,Front-Wheel Drive,Regular,24,Buick,Century,Automatic,Midsize Cars
11,Rear-Wheel Drive,Regular,17,Dodge,B150/B250 Wagon 2WD,Manual,Vans
18,Front-Wheel Drive,Regular,26,Buick,Century,Automatic,Midsize Cars
17,Front-Wheel Drive,Regular,25,Buick,Regal,Automatic,Midsize Cars
17,Front-Wheel Drive,Regular,27,Buick,Regal,Automatic,Midsize Cars
17,Front-Wheel Drive,Regular,26,Buick,Regal,Automatic,Midsize Cars
17,Front-Wheel Drive,Regular,25,Buick,Riviera,Automatic,Midsize Cars
15,Front-Wheel Drive,Premium,23,Cadillac,Eldorado,Automatic,Midsize Cars
15,Front-Wheel Drive,Premium,23,Cadillac,Eldorado,Automatic,Midsize Cars
15,Front-Wheel Drive,Premium,23,Cadillac,Seville,Automatic,Midsize Cars
15,Front-Wheel Drive,Premium,23,Cadillac,Seville,Automatic,Midsize Cars
18,Front-Wheel Drive,Regular,26,Chevrolet,Lumina,Automatic,Midsize Cars
11,Rear-Wheel Drive,Regular,17,Dodge,B150/B250 Wagon 2WD,Manual,Vans
17,Front-Wheel Drive,Regular,25,Chevrolet,Lumina,Automatic,Midsize Cars
17,Front-Wheel Drive,Regular,27,Chevrolet,Lumina,Automatic,Midsize Cars
15,Front-Wheel Drive,Regular,24,Chevrolet,Lumina,Automatic,Midsize Cars
15,Front-Wheel Drive,Regular,24,Chevrolet,Lumina,Manual,Midsize Cars
18,Front-Wheel Drive,Regular,24,Chrysler,New Yorker,Automatic,Midsize Cars
13,Front-Wheel Drive,Premium,19,CX Automotive,XM v6,Manual,Midsize Cars
13,Front-Wheel Drive,Premium,19,CX Automotive,XM v6a,Automatic,Midsize Cars
