Year,Term,Modality,Course,Coreq,pct_grade,d_grade
2019,Fall,IP,146,Y,107.83,4
2020,Fall,IP,146,Y,103.54,4
2019,Summer,IP,152,N,103.53,4
2019,Fall,IP,146,Y,103.04,4
2021,Winter,OC,146,N,102.98,4
2023,Winter,O,146,Y,102.89,4
2021,Winter,OC,146,N,102.43,4
2020,Fall,IP,146,Y,102.35,4
2021,Winter,OC,146,Y,102.29,4
2023,Winter,O,146,Y,101.75,4
2019,Winter,IP,152,N,101.75,4
2023,Fall,H,146,N,101.73,4
2023,Spring,O,146,Y,101.7,4
2021,Spring,OC,146,Y,101.68,4
2019,Winter,IP,98,N,101.61,4
2021,Winter,OC,146,N,101.22,4
2021,Winter,OC,146,Y,101.19,4
2021,Winter,OC,146,Y,101.07,4
2020,Summer,OC,152,N,101.03,4
2021,Fall,H,146,Y,100.94,4
2024,Winter,O,146,Y,100.91,4
2021,Spring,OC,146,Y,100.75,4
2024,Winter,O,146,Y,100.74,4
2023,Fall,H,211,N,100.56,4
2023,Spring,O,146,Y,100.49,4
2023,Fall,H,146,N,100.42,4
2024,Fall,O,146,N,100.39,4
2023,Fall,H,211,N,100.18,4
2022,Spring,H,146,Y,100.16,4
2021,Winter,OC,146,Y,100.16,4
2019,Summer,IP,152,N,100.11,4
2024,Fall,H,99,Y,100,4
2023,Winter,O,146,Y,99.96,4
2020,Fall,IP,146,Y,99.9,4
2021,Winter,OC,146,N,99.84,4
2020,Summer,OC,211,N,99.79,4
2021,Winter,OC,146,N,99.74,4
2020,Fall,IP,146,Y,99.65,4
2022,Winter,H,146,Y,99.65,4
2023,Fall,H,146,N,99.64,4
2020,Fall,OC,208,N,99.58,4
2019,Fall,IP,146,Y,99.55,4
2019,Winter,IP,141,N,99.44,4
2021,Fall,H,146,Y,99.4,4
2022,Fall,H,146,Y,99.36,4
2024,Summer,O,146,Y,99.35,4
2021,Spring,OC,146,Y,99.3,4
2024,Fall,O,146,N,99.28,4
2021,Winter,OC,146,N,99.27,4
2021,Spring,OC,146,Y,99.26,4
2022,Spring,H,146,N,99.26,4
2020,Summer,OC,211,N,99.25,4
2022,Summer,O,146,Y,99.23,4
2019,Winter,IP,98,N,99.21,4
2019,Spring,IP,146,N,99.14,4
2023,Winter,O,146,Y,99.13,4
2023,Spring,O,146,Y,99.12,4
2024,Winter,O,146,Y,99.11,4
2019,Fall,IP,146,Y,99.1,4
2024,Fall,O,146,N,99.1,4
2019,Spring,IP,146,N,99.1,4
2022,Spring,H,146,N,99.1,4
2022,Spring,H,146,Y,99.09,4
2020,Summer,OC,211,N,99.09,4
2022,Fall,H,107,Y,99.05,4
2024,Winter,H,146,Y,99.04,4
2023,Winter,O,146,Y,99,4
2021,Spring,OC,146,Y,98.9,4
2022,Spring,H,146,N,98.89,4
2023,Spring,O,146,Y,98.87,4
2023,Fall,H,146,N,98.85,4
2022,Summer,O,211,N,98.85,4
2022,Winter,H,146,Y,98.85,4
2021,Summer,OC,146,Y,98.8,4
2022,Summer,O,211,N,98.73,4
2022,Winter,H,107,Y,98.71,4
2022,Fall,H,107,Y,98.62,4
2023,Spring,O,146,N,98.62,4
2024,Winter,O,146,Y,98.61,4
2023,Spring,O,146,N,98.55,4
