,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Class Size,Teacher Exp (years),Math Score,Sex of Child,,Class Size,Teacher Exp (years),Math Score,Sex of Child
regular,0,423,girl,,small.class,0,559,boy
regular,0,444,boy,,small.class,0,528,boy
regular,0,528,boy,,small.class,0,513,boy
regular,0,463,boy,,small.class,0,489,boy
regular,0,520,boy,,small.class,0,513,boy
regular,0,513,girl,,small.class,0,473,boy
regular,0,576,boy,,small.class,0,473,boy
regular,0,454,boy,,small.class,0,576,boy
regular,0,513,boy,,small.class,0,439,boy
regular,0,473,boy,,small.class,0,484,boy
regular,0,439,girl,,small.class,0,494,girl
regular,0,444,boy,,small.class,0,489,girl
regular,0,459,boy,,small.class,0,439,girl
regular,0,528,girl,,small.class,0,547,boy
regular,0,576,boy,,small.class,0,454,girl
regular,0,494,boy,,small.class,0,463,boy
regular,0,513,boy,,small.class,0,513,girl
regular,0,439,girl,,small.class,0,528,girl
regular,0,513,girl,,small.class,0,449,girl
regular,0,528,girl,,small.class,0,559,boy
regular,0,468,girl,,small.class,0,463,boy
regular,0,513,boy,,small.class,0,576,boy
regular,0,520,girl,,small.class,0,468,girl
regular,0,576,girl,,small.class,0,463,girl
regular,0,520,boy,,small.class,0,559,girl
regular,0,500,boy,,small.class,0,576,boy
regular,0,392,boy,,small.class,0,506,boy
regular,0,520,boy,,small.class,0,454,girl
regular,0,434,boy,,small.class,0,484,boy
regular,0,484,girl,,small.class,0,626,boy
regular,0,500,girl,,small.class,0,559,girl
regular,0,444,boy,,small.class,0,444,girl
regular,0,418,boy,,small.class,0,489,boy
regular,0,536,girl,,small.class,0,449,girl
regular,0,494,girl,,small.class,0,576,boy
regular,0,536,boy,,small.class,0,547,boy
regular,0,459,girl,,small.class,0,500,boy
regular,0,536,boy,,small.class,0,602,boy
regular,0,500,girl,,small.class,0,547,boy
regular,0,418,girl,,small.class,0,602,girl
regular,0,547,boy,,small.class,0,405,girl
regular,0,459,girl,,small.class,1,528,girl
regular,0,547,girl,,small.class,1,513,girl
regular,0,468,girl,,small.class,1,444,boy
regular,0,513,boy,,small.class,1,468,girl
regular,0,494,girl,,small.class,1,454,boy
regular,0,547,boy,,small.class,1,429,girl
regular,0,429,boy,,small.class,1,500,girl
regular,0,365,girl,,small.class,1,459,boy
regular,0,602,girl,,small.class,1,473,girl
regular,0,468,boy,,small.class,1,429,girl
regular,0,536,girl,,small.class,1,484,boy
regular,0,468,girl,,small.class,1,459,girl
regular,0,473,boy,,small.class,1,547,boy
regular,0,449,boy,,small.class,1,384,girl
regular,0,520,girl,,small.class,1,439,boy
regular,0,513,boy,,small.class,1,468,boy
regular,0,547,girl,,small.class,1,449,boy
regular,0,463,girl,,small.class,1,513,boy
regular,0,423,boy,,small.class,1,468,boy
regular,0,489,boy,,small.class,1,506,girl
regular,0,434,boy,,small.class,1,454,girl
regular,0,626,girl,,small.class,1,459,girl
regular,0,536,girl,,small.class,1,478,boy
regular,0,454,boy,,small.class,1,484,girl
regular,0,520,boy,,small.class,1,423,boy
regular,0,520,girl,,small.class,1,449,girl
regular,0,559,girl,,small.class,1,468,girl
regular,0,513,girl,,small.class,1,454,boy
regular,0,392,girl,,small.class,1,434,girl
regular,0,506,boy,,small.class,1,559,boy
regular,0,444,boy,,small.class,1,513,boy
regular,0,418,boy,,small.class,1,439,girl
regular,0,547,girl,,small.class,1,484,girl
regular,0,559,boy,,small.class,1,454,girl
regular,0,500,girl,,small.class,1,439,boy
regular,0,506,girl,,small.class,1,513,girl
regular,0,506,boy,,small.class,1,434,boy
regular,0,489,girl,,small.class,1,434,girl
regular,0,423,girl,,small.class,1,423,boy
regular,0,559,girl,,small.class,1,392,boy
regular,0,429,boy,,small.class,1,444,boy
regular,0,399,boy,,small.class,1,418,boy
regular,0,459,girl,,small.class,1,439,girl
regular,0,506,boy,,small.class,1,602,girl
regular,0,454,girl,,small.class,1,444,boy
regular,0,500,girl,,small.class,1,473,boy
regular,0,478,boy,,small.class,1,459,girl
regular,0,494,boy,,small.class,1,429,boy
regular,0,506,girl,,small.class,1,520,girl
regular,0,473,boy,,small.class,1,494,girl
regular,0,506,boy,,small.class,1,454,boy
regular,0,473,girl,,small.class,1,528,girl
regular,0,449,boy,,small.class,1,463,boy
regular,0,520,boy,,small.class,1,412,boy
regular,0,528,girl,,small.class,1,434,boy
regular,0,536,girl,,small.class,1,473,girl
regular,0,478,girl,,small.class,1,473,boy
regular,0,418,girl,,small.class,1,506,girl
regular,0,405,boy,,small.class,1,536,boy
regular,0,494,boy,,small.class,1,444,girl
regular,0,478,boy,,small.class,1,444,girl
regular,0,478,girl,,small.class,1,468,boy
regular,0,528,girl,,small.class,1,513,girl
regular,0,559,girl,,small.class,1,463,boy
regular,0,444,boy,,small.class,1,444,boy
regular,0,489,boy,,small.class,1,463,boy
regular,0,484,boy,,small.class,1,449,girl
regular,0,439,girl,,small.class,1,478,girl
regular,0,536,boy,,small.class,1,489,girl
regular,0,478,boy,,small.class,1,463,boy
regular,0,576,girl,,small.class,1,463,boy
regular,0,513,girl,,small.class,1,459,girl
regular,1,528,girl,,small.class,1,434,boy
regular,1,513,girl,,small.class,1,444,boy
regular,1,528,boy,,small.class,1,506,girl
regular,1,484,girl,,small.class,1,489,boy
