,Final Exam,WH,Quizzes,CC Completion,Concept Check Correctness,Engagement
146 and 046,81.5,96.88,82,42,52.11,96.3
146 and 046,84.8,102.78,81,96,87.05,99.63
146 and 046,37,16.67,62,42,34.64,53.33
146 and 046,75,41.67,53,83,50.6,84.44
146 and 046,63,84.72,48,83,50.9,100
146 and 046,51.1,19.44,68,58,39.46,62.96
146 and 046,95.7,97.22,92,50,65.06,97.04
146 and 046,95.7,91.67,74,67,53.31,87.78
146 and 046,83.5,76.39,67,25,26.51,57.04
146 and 046,34.8,41.67,62,50,33.43,82.22
146 and 046,106.5,138.89,100,93,80.72,99.26
146 and 046,42.4,90.63,55,66,54.22,99.26
146 and 046,78.3,58.33,66,42,30.12,68.52
146 and 046,81.5,76.39,79,17,48.19,85.19
146 and 046,75,95.49,70,85,77.11,94.44
146 and 046,47.8,65.28,74,66,39.16,80.74
146 and 046,103.3,109.03,100,94,86.75,99.26
146 and 046,64.1,44.44,54,34,34.64,62.59
146 and 046,94.6,72.92,85,75,54.82,96.3
146 and 046,40.2,0,56,0,0,62.96
146 and 046,76.1,102.43,90,93,65.66,97.78
146 and 046,60.9,38.89,60,58,48.49,91.85
146 and 046,79.3,79.17,85,25,20.48,87.78
146 and 046,98.9,44.44,95,50,43.07,72.59
146 and 046,82.6,79.17,72,84,64.16,89.63
146 and 046,62,45.83,87,25,51.81,63.33
146 and 046,102.2,97.22,99,93,81.93,100
146 and 046,70.78,93.4,100,84,63.86,99.26
146 and 046,67.4,16.67,92,9,20.48,50.37
146 and 046,87,88.19,80,92,61.14,99.26
146 and 046,69.6,59.72,75,83,52.41,84.81
146 and 046,97.8,99.31,92,93,70.78,100
146 and 046,85.9,88.89,82,83,64.76,95.56
146 and 046,83.7,92.36,90,67,56.33,72.22
146 and 046,103.3,36.11,51,42,25.3,80
146 and 046,103.3,94.44,95,91,69.58,95.19
146 and 046,83.7,110.42,85,85,78.01,97.78
146 and 046,76.2,68.06,72,50,43.07,95.56
146 and 046,78.3,53.82,87,75,73.8,94.81
152,67.2,100,90,82.24,94,100
152,53.1,61.67,40,63.16,79,75
152,62.5,71.67,70,51.32,26,100
152,76.6,100,76.67,88.82,94,100
152,48.4,40,60,42.11,64,75
152,62.5,63.33,63.33,13.16,13,83.33
152,71.9,110,90,87.5,96,100
152,50,61.67,86.67,53.29,91,75
152,21.9,81.67,26.67,48.03,90,100
152,84.4,83.33,93.33,75,66,100
152,50,65,56.67,49.34,77,100
152,93.8,125,100,83.55,94,100
152,60.9,75,56.67,66.45,93,91.67
152,109.4,108.33,100,79.61,93,100
152,40.6,55,80,41.45,64,75
152,45.3,66.67,33.33,36.18,53,75
152,75,96.67,90,85.53,94,100
152,60.9,96.67,70,46.05,66,100
152,70.3,70,76.67,92.76,96,91.67
152,50,75,60,91.45,94,91.67
152,60.2,98.33,88.33,81.58,80,100
152,68.8,108.33,96.67,76.97,80,100
152,85.9,100,85,87.5,94,100
152,81.3,65,98.33,88.16,96,100
152,34.4,43.33,20,61.84,91,66.67
152,59.4,21.67,73.33,14,26.32,58.33
152,46.9,30,3.33,39,25,58.33
152,64.1,81.67,73.33,51,47.37,100
152,62.5,70,66.67,77,39.47,83.33
152,95.3,96.67,103.33,93,81.58,100
152,78.1,88.33,80,90,61.84,83.33
152,64.1,73.33,76.67,91,65.79,100
152,60.9,63.33,76.67,77,50,100
152,60.9,75,81.67,80,82.89,91.67
152,81.3,71.67,66.67,64,62.5,100
152,53.1,46.67,81.67,90,67.11,100
152,95.3,103.33,88.33,40,36.84,83.33
152,92.2,121.67,96.67,41,89.47,100
152,78.1,85,80,91,71.71,100
152,68.8,80,71.67,79,79.28,100
152,73.4,81.67,71.67,77,40.79,100
152,9.4,10,36.67,13,25,58.33
152,45.3,90,56.67,51,33.55,100
146,28.9,18.52,68,55,35.26,43.75
146,71.1,74.07,91,81,52.95,93.75
146,58.9,29.63,74,45,30.77,100
146,83.3,45.37,84,64,60.26,93.75
146,95.6,96.3,96,63,51.28,100
146,33.3,67.59,66,54,43.46,62.5
146,62.2,58.33,86,64,64.36,75
146,50,61.11,47,55,46.67,81.25
146,93.3,95.37,90,83,80.77,100
146,4.4,0,42,9,6.41,37.5
146,52.2,47.22,78,54,47.56,62.5
146,100,93.52,100,91,74.1,100
146,85.6,75.93,72,93,80.38,75
146,64.4,79.63,91,91,53.08,87.5
146,92.2,75.93,95.8,65,76.92,93.75
146,97.8,92.59,99,82,87.18,100
146,72.2,43.52,100,84,87.18,93.75
146,105.6,100,98,94,90.51,100
146,78.9,91.67,97,65,70.51,93.75
146,88.9,80.56,98,82,69.23,81.25
146,91.1,40.74,68,18,35.38,12.5
146,75.6,91.67,84,83,81.41,100
146,11.1,59.26,76,55,61.15,62.5
146,68.9,70.37,98,37,78.46,68.75
146,83.3,76.85,99,54,66.67,68.75
146,78.9,49.07,87,92,72.44,81.25
146,63.3,63.89,73,81,60.38,93.75
146,92.2,100,100,94,90.13,87.5
146,86.7,82.41,97,91,68.59,100
146,97.8,97.22,97,81,78.85,93.75
146,53.3,66.67,75,63,54.49,68.75
142,57.8,59.26,84,46,65.05,81.25
142,0,0,38,54,20.73,43.75
142,88.8,89.81,88,72,96.48,75
142,75,91.2,90.8,91,87.28,100
142,71.9,58.33,78,63,78.75,75
142,70.3,47.22,79,19,72.6,75
142,87.5,82.41,92,72,86.58,100
142,0,44.44,50,55,32.93,25
142,75,11.11,77,81,70.73,93.75
142,54.7,40.74,85.8,74,69.15,81.25
142,21.9,45.37,55.8,83,30.83,50
142,57.8,34.26,58,54,48.1,68.75
142,57.8,64.81,93.8,74,79.48,100
142,65.6,70.37,95.8,72,81.53,75
152,50,38.75,82.5,33.75,37.14,100
152,60.6,82.5,94.17,90,48.57,90.91
152,84.8,102.5,95.83,68.75,80,100
152,93.9,100,98.33,92.5,64.29,100
152,75.8,87.5,94.17,67.5,57.14,100
152,48.5,82.5,90,90,60,100
152,12.1,86.25,83.33,81.25,67.14,90.91
152,42.4,18.75,28.33,33.75,15.71,9.09
152,100,95,101.67,93.75,81.43,100
152,84.8,78.13,87.33,92.5,58.57,90.91
152,78.8,93.75,93.33,93.75,82.86,100
152,36.4,43.75,90.83,45,58.57,90.91
152,12.1,60,55.83,11.25,38.57,90.91
152,68.7,46.88,72.5,68.75,67.14,100
152,63.6,67.5,97.5,90,67.14,100
152,66.7,80,94.17,95,82.86,100
152,42.4,71.25,94.17,81.25,78.57,81.82
141,47.7,30.84,61.67,78.75,48.78,72.73
141,62.5,46.66,85,67.5,39.63,72.73
141,75,63.13,77.5,45,53.66,72.73
141,52.3,23.75,75,45,46.34,72.73
141,90.9,102.5,97.5,92.5,75.61,100
141,61.4,88.75,89.17,90,75,100
141,72.7,97.5,100,96.25,96.34,100
141,64.8,85,97.5,68.75,57.93,100
141,81.8,85,95.83,91.25,53.66,100
141,76.1,94.38,95,96.25,85.37,100
141,51.1,83.75,83.33,45,57.93,90.91
141,84.1,93.75,98.33,92.5,81.71,90.91
141,83,88.75,94.17,80,76.83,100
141,73.9,101.25,91.67,93.75,84.15,100
141,54.4,91.25,87.5,45,30.49,100
141,95.5,82.5,100,93.75,87.8,100
141,71.6,74.38,72.5,90,49.39,100
141,77.3,68.34,92.5,93.75,82.32,100
141,77.3,90,95,92.5,75.61,100
141,56.8,68.75,75,47.5,80.49,90.91
141,55.7,63.75,90,80,78.66,100
141,20.5,63.75,73.33,90,59.15,100
98,66.3,45,98.33,78.75,54.32,81.82
98,102.5,72.5,95,68.75,66.67,90.91
98,90,38.75,82.5,33.75,22.22,54.55
98,75,45,63.33,56.26,53.09,54.55
98,100,101.25,100,81.25,88.89,100
98,107.5,98.75,93.33,92.5,85.19,100
98,85,42.91,95.83,56.25,45.68,90.91
98,93.8,55,88.33,22.5,34.57,81.82
98,105,46.25,97.5,92.5,83.95,72.73
98,55,52.5,95,93.75,80.25,72.73
98,105,38.75,90.83,33.75,27.16,90.91
98,100,97.5,98.33,92.5,79.01,100
98,87.5,81.25,88.33,78.75,58.02,90.91
98,87.5,38.75,70.83,67.5,62.96,81.82
98,106.3,55,95.83,83.75,86.42,100
98,95,73.75,100,80,80.25,100
98,71.3,67.5,80.83,78.5,53.09,100
98,65,21.25,55.83,11.26,4.94,63.64
98,27.5,0,0,0,0,9.09
98,77.5,10.41,15.83,0,0,18.18
141,75.4,73.33,80,58,58.01,80
141,65.6,76.67,52,67,65.42,90
141,68,71.11,87,91,52.8,90
141,99.2,58.89,99,94,79.91,70
141,81.97,62.22,84.8,95,81.78,100
141,75.41,76.67,82,93,79.6,70
141,82,92.78,84,35,76.39,90
141,50.8,58.89,56,83,55.14,100
141,85.2,85,87,68,59.81,90
141,75.4,44.44,37,41,40.32,30
141,60.7,68.33,88,84,56.07,100
141,72.1,75,89,92,61.68,100
141,90.2,78.33,98,92,66.36,90
141,34.4,36.67,76,41,49.07,80
141,63.9,52.78,82,67,57.48,100
141,59.8,81.67,86,95,75.23,90
141,68,63.89,79,69,62.15,80
141,68.9,46.67,78,93,72.43,100
141,82,48.89,89,35,59.48,70
141,105,86.11,97,95,76.64,100
141,19.7,63.33,67,90,53,100
141,70.5,87.78,92,94,66.2,100
141,42.6,54.44,75,49,21.96,80
141,59,48.33,90,91,67.76,70
141,51.6,31.11,83,95,79.44,70
141,98.4,97.22,98,95,82.24,100
141,23,65.56,58.75,64,55.3,60
141,72,83.33,83.75,72,43.93,100
141,77,53.89,91.25,36,28.5,100
141,80.3,33.33,81.25,91,57.94,100
141,16.4,0,0,18,5.61,10
141,91.8,90,78.75,45,34.58,100
141,26.2,78.33,77.5,91,55.61,80
141,69,58.89,85,81,55.61,100
141,85.2,81.11,93.75,92,65.89,100
141,90.2,88.89,100,82,49.53,90
141,91.8,87.22,95,94,86.45,100
141,96.7,101.11,100,96,88.32,100
141,28,50,63.75,64,39.72,80
141,42.6,83.33,80,84,66.36,100
141,73.8,84.44,77.5,83,57.01,100
141,69,41.67,93.75,63,34.58,70
141,75.4,48.89,86.25,86,81.31,60
141,28,73.89,75,90,35.98,80
141,50.8,53.89,80,95,77.73,100
141,41,75.56,70,87,76.64,100
208,51,42.22,67,9,4.04,40
208,55,90,84,92,58.08,100
208,73,92.78,88,92,70.8,100
208,97,92.22,84,94,83,80
208,52,79.44,78,67,69.8,70
208,108,118.89,108,98,95.96,100
208,71,70.56,80,74,53.7,80
208,53,96.11,72,91,50.77,80
208,76,83.33,96,91,58.59,100
208,37,73.33,74,74,23.2,80
208,60,72.22,95,76,59.09,100
208,46,95.56,82,67,37.93,80
208,61,78.89,77,17,49.58,90
208,90,91.11,108,94,81.31,100
152,96,90,86,91.43,77.69,100
152,85,76.43,83,52.86,43.08,100
152,71,85.71,82,90,72.31,62.5
152,60,63.57,78,64.29,44.62,100
152,66,96.07,78,91.43,75.38,100
152,66,95.71,78,91.43,75.38,100
152,87,94.29,84,91.43,78.46,100
152,30,66.43,41,64.29,44.62,50
152,66,90.71,93,94.29,85.65,100
152,66,96.79,91,65.71,46.15,100
152,59,81.43,90,92.86,70,100
152,66,93.57,77,91.43,66.15,100
152,15,74.29,51,64.29,38.97,87.5
152,89,93.21,78,95.71,86.15,100
152,76,97.14,99,97.14,95.38,100
152,63,63.57,60,90,55.38,100
152,2,20.36,31,12.86,15.38,75
152,110,94.29,101,94.29,83.08,100
142,52.3,45.11,65,12.86,34.93,62.5
142,84.2,93.98,99,92.86,83.56,100
142,72.4,81.2,85,78.57,71.92,100
142,44.7,90.98,84,95.71,89.73,87.5
142,73.7,90.6,86,91.43,77.4,87.5
142,57.9,91.73,69,90,53.42,100
