from,continent,music,sibs,pets,pineapple,tech_skills,exercise,tv/movies,video games,cooking,art/music,reading,working,,,,,,,,
Eritrea,Africa,"R&B 

Rap 

Eritrean Music 

Arabic Music ",5,0,YEAH!,I'm great with technology,1,1,1,0,0,0,0,,,,,,,,
Gambia,Africa,"Old school Hip Hop

New school(non-mumble) Rap",2,0,UGH gross.,I'm okay with technology.,0,0,1,0,0,0,0,,,,,,,,
Ethiopia,Africa,I love all of the songs of Ethiopian Orthodox Tewahedo Church.,3,0,UGH gross.,I'm great with technology,0,1,0,0,0,0,0,,,,,,,,
Vietnam,Asia,"EDM, Indie, pop, ballad.",2,0,yes,I'm okay with technology.,1,1,0,0,0,0,0,,18,47,41,18,12,12,4
China,Asia,I like Chinese music.,1,0,yes,I'm great with technology,0,1,1,0,0,0,0,,,,,,,,
I'm from Japan,Asia,"I like pop music such as Ariana Grande, Zedd, and Selena Gomez.",2,0,yes,I'm okay with technology.,0,0,0,0,0,0,0,,,,,,,,
Viet Nam,Asia,"I don't have a specific favorite kind of music, it varies.",1,1,yes,I'm okay with technology.,0,1,0,0,0,0,0,,,,,,,,
Indonesia,Asia,"I like pop, jazz, and EDM. I mostly listen to LAUV, HONNE, and Billie Eilish. ",1,2,yes,I'm okay with technology.,0,1,0,1,0,1,0,,,,,,,,
"Originally from Russia, but I was raised in Seattle",Asia,"I honestly love all kinds of music. It depends on my mood, I can be into rap or country, K-pop or metal. I enjoy Disney music and ballads as well as intrumentals like the Planet Earth 2 soundtrack.

My favourite musician at the moment is MIKA while my favorite band is Set It Off.",1,3,yes,I'm great with technology,1,1,0,0,1,0,0,,,,,,,,
China 🇨🇳,Asia,Instrumental music is relaxing and joyous,2,0,YEAH!,I'm okay with technology.,1,0,0,1,0,0,0,,,,,,,,
Taiwan,Asia,I don't really listen to music.,0,0,YEAH!,"I have some issues with technology, I will need some support.",0,0,1,1,0,0,0,,,,,,,,
Indonesia,Asia,I like pop and jazz music. ,3,0,YEAH!,I'm okay with technology.,0,1,0,1,0,0,0,,,,,,,,
Indonesia,Asia,Jazz! and pop,2,0,YEAH!,I'm okay with technology.,0,0,1,0,0,0,0,,,,,,,,
Mongolia,Asia,I like calming r&b music,2,0,YEAH!,I'm okay with technology.,0,0,0,0,0,1,1,,,,,,,,
China,Asia,Pop,0,0,YEAH!,I'm great with technology,0,0,0,1,0,0,0,,,,,,,,
Indonesia,Asia,I like pop genre songs. Ed Sheeran is my favourite singer.,2,0,YEAH!,I'm okay with technology.,0,1,1,0,0,0,0,,,,,,,,
China,Asia,Rap music,1,0,YEAH!,I'm okay with technology.,0,1,1,0,0,0,0,,,,,,,,
china,Asia,electronic,1,0,YEAH!,I'm okay with technology.,0,0,1,0,0,0,0,,,,,,,,
China,Asia,K-pop music,0,0,YEAH!,I'm okay with technology.,0,0,0,0,0,0,0,,,,,,,,
Indonesia,Asia,"It changes all the time. I like to listen to pop, jazz, EDM, classical music, K-pop, all are played according to my mood. ",1,1,YEAH!,I'm okay with technology.,0,0,0,0,0,0,0,,,,,,,,
China,Asia,"k-pop , hip-hop, and pop music.",2,1,YEAH!,I'm okay with technology.,0,1,1,1,0,0,0,,,,,,,,
China,Asia,"Pop, RMB, Classical",0,1,YEAH!,I'm okay with technology.,0,1,0,1,0,0,0,,,,,,,,
Shoreline,Asia,Rap/Hip-hop/UK drill,2,1,YEAH!,I'm great with technology,0,1,1,0,0,0,0,,,,,,,,
"Seattle, Washington",Asia,"I like jazz, hip hop, and classic rock. ",0,2,YEAH!,I'm okay with technology.,0,1,0,0,0,1,0,,,,,,,,
Thailand,Asia,I listen to a variety of music but jazzy songs are great.,1,,YEAH!,I'm great with technology,0,0,1,0,1,0,0,,,,,,,,
Indonesia,Asia,"I like original soundtracks, whether it's from movies, games, etc.",1,0,UGH gross.,I'm great with technology,0,0,0,1,1,0,0,,,,,,,,
Indonesia,Asia,"I actually enjoy listening to all genre, but the one that I love the most is the hip hop genre, my favorite artist is J. Cole and NAV.",3,0,UGH gross.,I'm okay with technology.,0,1,0,0,0,0,0,,,,,,,,
Indonesia,Asia,"Pop, Jazz, Oldschool songs.",2,0,UGH gross.,I'm okay with technology.,0,0,1,0,0,0,0,,,,,,,,
Indonesia,Asia,"I like original soundtracks, whether it's from movies, games, etc.",1,0,UGH gross.,I'm great with technology,0,0,0,1,1,0,0,,,,,,,,
Indonesia,Asia,Pop,1,1,UGH gross.,I'm great with technology,0,1,0,1,0,0,0,,,,,,,,
"Bandung, Indonesia",Asia,My favorite kind of music is pop.,3,4,UGH gross.,I'm okay with technology.,0,1,0,1,0,0,1,,,,,,,,
China,Asia,Pop.,0,0,sometimes,I'm okay with technology.,0,0,1,1,0,0,0,,,,,,,,
Indonesia,Asia,"Hip-Hop

RnB

Alternative pop

Jazz

Classical

 ",2,0,sometimes,I'm okay with technology.,1,1,1,1,0,0,0,,,1.051609411,1.324956544,,,,
