officer_gender,officer_race,officer_age,subject_gender,subject_race,subject_age,weapon,arrest_flag,frisk_flag
M,White,43,Female,NonWhite,26 - 35,Blunt Object,0,1
M,White,34,Female,White,26 - 35,Blunt Object,1,1
M,White,34,Female,White,36 - 45,Blunt Object,0,1
F,White,33,Female,NonWhite,36 - 45,Blunt Object,0,1
M,White,28,Female,NonWhite,26 - 35,Blunt Object,0,1
M,White,30,Female,White,26 - 35,Blunt Object,0,0
F,White,32,Female,White,18 - 25,Blunt Object,0,1
M,NonWhite,32,Female,NonWhite,26 - 35,Firearm,0,1
M,White,36,Female,NonWhite,18 - 25,Firearm,0,0
M,White,36,Female,NonWhite,18 - 25,Firearm,0,0
F,White,28,Female,NonWhite,26 - 35,Firearm,0,1
F,White,44,Female,White,46 - 55,Firearm,0,0
M,White,33,Female,White,0-17,Firearm,0,1
F,White,32,Female,White,18 - 25,Firearm,0,1
F,White,29,Female,White,26 - 35,Firearm,0,1
M,White,50,Female,NonWhite,0-17,Firearm,0,1
M,White,35,Female,NonWhite,26 - 35,Firearm,0,1
M,White,28,Female,NonWhite,18 - 25,Firearm,0,1
F,White,27,Female,NonWhite,26 - 35,Firearm,0,1
M,NonWhite,52,Female,NonWhite,18 - 25,Firearm,0,1
M,White,44,Female,White,26 - 35,Firearm,0,0
M,White,31,Female,White,18 - 25,Firearm,0,0
M,White,43,Female,White,18 - 25,Firearm,0,1
M,White,37,Female,White,0-17,Firearm,0,1
F,White,37,Female,NonWhite,36 - 45,Knife,1,1
M,White,33,Female,NonWhite,26 - 35,Knife,0,1
M,White,36,Female,NonWhite,18 - 25,Knife,1,1
M,NonWhite,43,Female,NonWhite,46 - 55,Knife,0,1
M,NonWhite,34,Female,NonWhite,26 - 35,Knife,1,1
M,NonWhite,29,Female,NonWhite,26 - 35,Knife,0,1
M,White,51,Female,NonWhite,26 - 35,Knife,1,1
M,White,51,Female,NonWhite,46 - 55,Knife,0,1
M,White,39,Female,NonWhite,36 - 45,Knife,1,1
M,White,34,Female,NonWhite,36 - 45,Knife,1,1
M,White,27,Female,NonWhite,36 - 45,Knife,0,1
M,White,22,Female,NonWhite,36 - 45,Knife,1,1
M,NonWhite,31,Female,White,0-17,Knife,1,1
F,NonWhite,24,Female,White,36 - 45,Knife,1,1
M,White,51,Female,White,26 - 35,Knife,1,1
M,White,46,Female,White,18 - 25,Knife,0,1
M,White,33,Female,White,26 - 35,Knife,1,1
M,White,31,Female,White,56 and Above,Knife,0,1
M,White,29,Female,White,26 - 35,Knife,1,1
M,White,30,Female,White,36 - 45,Knife,0,1
F,White,28,Female,White,36 - 45,Knife,0,1
M,White,26,Female,White,26 - 35,Knife,1,1
M,White,24,Female,White,36 - 45,Knife,0,1
M,NonWhite,45,Female,NonWhite,0-17,Knife,0,1
M,White,41,Female,NonWhite,26 - 35,Knife,0,0
M,White,45,Female,NonWhite,18 - 25,Knife,0,1
M,White,29,Female,NonWhite,26 - 35,Knife,0,1
M,White,31,Female,NonWhite,26 - 35,Knife,0,1
M,White,28,Female,NonWhite,46 - 55,Knife,0,1
M,NonWhite,40,Female,NonWhite,18 - 25,Knife,0,1
M,White,34,Female,NonWhite,36 - 45,Knife,0,1
M,White,28,Female,NonWhite,46 - 55,Knife,0,1
