year,term,time,modalithy,days,course,pct_grade,d_grade
2021,Fall,12:30,"Hybrid, 1 hour",,146 Coreq,0,0
2021,Fall,8:30,"Hybrid, 1 hour",,146,0,0
2023,Winter,11:30,"Hybrid, 1 hour",TTh,151,0,0
2023,Winter,11:30,"Hybrid, 1 hour",TTh,151,0,0
2023,Winter,11:30,"Hybrid, 1 hour",TTh,151,0.56,0
2021,Fall,8:30,"Hybrid, 1 hour",,146,1.39,0
2023,Winter,8:30,"Hybrid, 1 hour",TTh,151,1.76,0
2022,Winter,12:30,"Hybrid, 1 hour",,107 Coreq,4.13,0
2021,Fall,12:30,"Hybrid, 1 hour",,146 Coreq,4.3,0
2022,Winter,10:30,"Hybrid, 1 hour",,146 Coreq,4.7,0
2023,Winter,8:30,"Hybrid, 1 hour",TTh,151,4.8,0
2022,Winter,10:30,"Hybrid, 1 hour",,146 Coreq,5.59,0
2021,Fall,10:30,"Hybrid, 1 hour",,146,11.27,0
2022,Winter,12:30,"Hybrid, 1 hour",,107 Coreq,13.52,0
2021,Fall,10:30,"Hybrid, 1 hour",,146,20.32,0
2023,Winter,11:30,"Hybrid, 1 hour",TTh,151,22.05,0
2021,Fall,12:30,"Hybrid, 1 hour",,146 Coreq,27.25,0
2023,Winter,8:30,"Hybrid, 1 hour",TTh,151,28.42,0
2023,Winter,8:30,"Hybrid, 1 hour",TTh,151,35.93,0
2023,Winter,8:30,"Hybrid, 1 hour",TTh,151,35.97,0
2022,Winter,10:30,"Hybrid, 1 hour",,146 Coreq,36.33,0
2023,Winter,8:30,"Hybrid, 1 hour",TTh,151,37.38,0
2021,Fall,8:30,"Hybrid, 1 hour",,146,37.8,0
2023,Winter,8:30,"Hybrid, 1 hour",TTh,151,38.43,0
2021,Fall,8:30,"Hybrid, 1 hour",,146,41.03,0
2021,Fall,10:30,"Hybrid, 1 hour",,146,46.94,0
2021,Fall,10:30,"Hybrid, 1 hour",,146,49.04,0
2022,Winter,12:30,"Hybrid, 1 hour",,107 Coreq,51.3,0
2021,Fall,12:30,"Hybrid, 1 hour",,146 Coreq,52.4,0
2022,Winter,12:30,"Hybrid, 1 hour",,107 Coreq,53.34,0
2021,Fall,8:30,"Hybrid, 1 hour",,146,53.47,0
2023,Winter,11:30,"Hybrid, 1 hour",TTh,151,58.6,0
2023,Winter,11:30,"Hybrid, 1 hour",TTh,151,87.12,0
2023,Winter,11:30,"Hybrid, 1 hour",TTh,151,93.63,0
2023,Winter,8:30,"Hybrid, 1 hour",TTh,151,66.52,1.1
2023,Winter,8:30,"Hybrid, 1 hour",TTh,151,68.02,1.2
2021,Fall,12:30,"Hybrid, 1 hour",,146 Coreq,63.83,1.4
2021,Fall,12:30,"Hybrid, 1 hour",,146 Coreq,64.85,1.5
2023,Winter,11:30,"Hybrid, 1 hour",TTh,151,90.8,1.5
2022,Winter,12:30,"Hybrid, 1 hour",,107 Coreq,68.07,1.6
2021,Fall,12:30,"Hybrid, 1 hour",,146 Coreq,70.24,1.7
2023,Winter,11:30,"Hybrid, 1 hour",TTh,151,94.25,1.8
2021,Fall,10:30,"Hybrid, 1 hour",,146,71.6,2
2021,Fall,10:30,"Hybrid, 1 hour",,146,72.71,2
2021,Fall,8:30,"Hybrid, 1 hour",,146,73.32,2
2022,Winter,10:30,"Hybrid, 1 hour",,146 Coreq,73.82,2
2023,Winter,8:30,"Hybrid, 1 hour",TTh,151,74.39,2
2023,Winter,8:30,"Hybrid, 1 hour",TTh,151,75.22,2
2023,Winter,11:30,"Hybrid, 1 hour",TTh,151,80.28,2
2023,Winter,11:30,"Hybrid, 1 hour",TTh,151,42.42,2.1
2021,Fall,12:30,"Hybrid, 1 hour",,146 Coreq,77.01,2.2
2023,Winter,8:30,"Hybrid, 1 hour",TTh,151,77.27,2.2
2023,Winter,8:30,"Hybrid, 1 hour",TTh,151,78.16,2.3
2022,Spring,12:30,"Hybrid, 1 hour",,146 H,78.65,2.3
2021,Fall,10:30,"Hybrid, 1 hour",,146,78.75,2.4
2023,Winter,8:30,"Hybrid, 1 hour",TTh,151,79.2,2.4
2023,Winter,8:30,"Hybrid, 1 hour",TTh,151,79.48,2.4
2023,Winter,11:30,"Hybrid, 1 hour",TTh,151,86.16,2.5
2023,Winter,11:30,"Hybrid, 1 hour",TTh,151,91.16,2.6
2021,Fall,8:30,"Hybrid, 1 hour",,146,80.06,2.8
