year,term,Time,modality,course,pct_grade,d_grade
2019,Winter,1130,"Hybrid, 1 hour",98,25.49,0
2019,Winter,1130,"Hybrid, 1 hour",98,22.68,0
2019,Winter,1130,"Hybrid, 1 hour",98,7.53,0
2019,Winter,930,"Hybrid, 1 hour",141,47.86,0
2019,Winter,930,"Hybrid, 1 hour",141,46.9,0
2019,Winter,930,"Hybrid, 1 hour",141,1.13,0
2019,Winter,830,"Hybrid, 1 hour",152,46.77,0
2019,Winter,830,"Hybrid, 1 hour",152,22.18,0
2019,Winter,830,"Hybrid, 1 hour",152,28.27,0
2019,Winter,830,"Hybrid, 1 hour",152,54.67,0
2019,Winter,830,"Hybrid, 1 hour",152,0,0
2019,Spring,1130,"Hybrid, 1 hour",142,21.12,0
2019,Spring,1130,"Hybrid, 1 hour",142,40.2,0
2019,Spring,1130,"Hybrid, 1 hour",142,43.56,0
2019,Spring,1030,"Hybrid, 1 hour",146,36.46,0
2019,Spring,830,"Hybrid, 1 hour",146,50.28,0
2019,Spring,830,"Hybrid, 1 hour",146,42.03,0
2019,Spring,830,"Hybrid, 1 hour",146,25.07,0
2019,Summer,1200,"Hybrid, 1 hour",152,53.64,0
2019,Summer,1200,"Hybrid, 1 hour",152,51.35,0
2019,Summer,1200,"Hybrid, 1 hour",152,51.43,0
2019,Summer,1200,"Hybrid, 1 hour",152,26.49,0
2019,Summer,1200,"Hybrid, 1 hour",152,50.8,0
2019,Summer,900,"Hybrid, 1 hour",152,42.76,0
2019,Summer,900,"Hybrid, 1 hour",152,40.12,0
2019,Fall,930,"Hybrid, 1 hour",146 S,55.07,0
2019,Fall,1130,"Hybrid, 1 hour",146 S,39.92,0
2020,Fall,930,"Hybrid, 1 hour",146 S,31.56,0
2020,Fall,930,"Hybrid, 1 hour",146 S,32.79,0
2020,Fall,930,"Hybrid, 1 hour",146 S,17.19,0
2020,Fall,930,"Hybrid, 1 hour",146 S,4.46,0
2020,Spring,,"Hybrid, 1 hour",152,21.06,0
2020,Spring,,"Hybrid, 1 hour",152,54.16,0
2020,Spring,,"Hybrid, 1 hour",152,62.08,0
2020,Spring,,"Hybrid, 1 hour",152,9.6,0
2020,Spring,,"Hybrid, 1 hour",152,11.3,0
2020,Spring,,"Hybrid, 1 hour",152,63.82,0
2020,Spring,,"Hybrid, 1 hour",211,27.7,0
2020,Spring,,"Hybrid, 1 hour",211,28.95,0
2020,Spring,,"Hybrid, 1 hour",211,37.68,0
2020,Spring,,"Hybrid, 1 hour",211,41.37,0
2020,Spring,,"Hybrid, 1 hour",211,43.52,0
2020,Spring,,"Hybrid, 1 hour",211,53.52,0
2020,Summmer,,"Hybrid, 1 hour",211,52.22,0
2020,Summmer,,"Hybrid, 1 hour",211,9.76,0
2020,Summmer,,"Hybrid, 1 hour",211,51.19,0
2020,Summmer,,"Hybrid, 1 hour",152,44.68,0
2020,Summmer,,"Hybrid, 1 hour",152,7.63,0
2020,Summmer,,"Hybrid, 1 hour",152,5.46,0
2020,Fall,,"Hybrid, 1 hour",208,18.23,0
2020,Fall,,"Hybrid, 1 hour",208,31.13,0
2020,Fall,,"Hybrid, 1 hour",208,22.59,0
2020,Fall,,"Hybrid, 1 hour",146 S,0,0
2020,Fall,,"Hybrid, 1 hour",146 S,0,0
2020,Fall,,"Hybrid, 1 hour",146 S,0,0
2021,Winter,,"Hybrid, 1 hour",146,27.77,0
2021,Winter,,"Hybrid, 1 hour",146,39.1,0
2021,Winter,,"Hybrid, 1 hour",146,7.09,0
2021,Winter,,"Hybrid, 1 hour",146,13.41,0
2021,Winter,,"Hybrid, 1 hour",146,1.96,0
2021,Winter,,"Hybrid, 1 hour",146,13.66,0
2021,Winter,,"Hybrid, 1 hour",146,34.87,0
2021,Winter,,"Hybrid, 1 hour",146 S,35.99,0
2021,Winter,,"Hybrid, 1 hour",146 S,40.28,0
2021,Spring,,"Hybrid, 1 hour",146 S,18.94,0
2021,Spring,,"Hybrid, 1 hour",146 S,19.01,0
2021,Spring,,"Hybrid, 1 hour",146 S,33.56,0
2021,Spring,,"Hybrid, 1 hour",146 S,48.41,0
2021,Spring,,"Hybrid, 1 hour",146 S,54.71,0
2021,Summer,,"Hybrid, 1 hour",146 S,1,0
2021,Summer,,"Hybrid, 1 hour",146 S,24.34,0
2021,Summer,,"Hybrid, 1 hour",146 S,44.66,0
2021,Summer,,"Hybrid, 1 hour",146 S,46.61,0
2021,Summer,,"Hybrid, 1 hour",146 S,42.17,0
2021,Fall,12:30,"Hybrid, 1 hour",146 S,4.3,0
2021,Fall,12:30,"Hybrid, 1 hour",146 S,52.4,0
2021,Fall,12:30,"Hybrid, 1 hour",146 S,27.25,0
2021,Fall,12:30,"Hybrid, 1 hour",146 S,0,0
2021,Fall,10:30,"Hybrid, 1 hour",146,11.27,0
2021,Fall,10:30,"Hybrid, 1 hour",146,46.94,0
2021,Fall,10:30,"Hybrid, 1 hour",146,20.32,0
2021,Fall,10:30,"Hybrid, 1 hour",146,49.04,0
2021,Fall,8:30,"Hybrid, 1 hour",146,0,0
2021,Fall,8:30,"Hybrid, 1 hour",146,1.39,0
2021,Fall,8:30,"Hybrid, 1 hour",146,41.03,0
2021,Fall,8:30,"Hybrid, 1 hour",146,37.8,0
2021,Fall,8:30,"Hybrid, 1 hour",146,53.47,0
2022,Winter,12:30,"Hybrid, 1 hour",107S,13.52,0
2022,Winter,12:30,"Hybrid, 1 hour",107S,51.3,0
2022,Winter,12:30,"Hybrid, 1 hour",107S,4.13,0
2022,Winter,12:30,"Hybrid, 1 hour",107S,53.34,0
2022,Winter,10:30,"Hybrid, 1 hour",146 S,36.33,0
2022,Winter,10:30,"Hybrid, 1 hour",146 S,4.7,0
2022,Winter,10:30,"Hybrid, 1 hour",146 S,5.59,0
2022,Spring,10:30,"Hybrid, 2 hours",146 S,7.23,0
2022,Spring,10:30,"Hybrid, 2 hours",146 S,0,0
