fips,name_16,State,Total.Population,median_age,White,Black,Hispanic,Asian,Amerindian,Other,Median.Earnings.2010.dollars,Gini.Coefficient,Less.Than.High.School,At.Least.High.School.Diploma,At.Least.Bachelor.s.Degree,Graduate.Degree,annual_PRCP,winter_PRCP,summer_PRCP,spring_PRCP,autumn_PRCP
1001,Autauga,Alabama,52077.5,36.2,77.55,17.7,2.2,0.75,0.4,1.35,30043.21365,0.405,14.7,85.3,21.7,7.1,,,,,
1003,Baldwin,Alabama,177131,41,84.3,9.55,3.65,0.65,0.6,1.25,26630.5654,0.439,12.4,87.6,26.8,8.7,,,,,
1005,Barbour,Alabama,28560,38,47.4,46.5,4.7,0.25,0.35,0.9,20663.4527,0.464,28.1,71.9,13.5,6,,,,,
1007,Bibb,Alabama,22189.5,38.3,75.2,22.5,1.35,0.15,0.2,0.6,26875.00381,0.411,25.5,74.5,10,2.6,5757.5,1625.5,1375.5,1427,1329.5
1009,Blount,Alabama,57063,38.3,89.15,1.05,7.7,0.3,0.6,1.2,27774.18032,0.422,25.3,74.7,12.5,4.2,5583,1545.5,1348,1446,1243.5
1011,Bullock,Alabama,10915.5,38.7,22.05,72.45,4.7,0.25,0.15,0.35,20651.69397,0.533,25.3,74.7,12,3.7,5359.5,1377.5,1414,1420,1148
1013,Butler,Alabama,20568,39.7,55.4,42.25,0.65,0.7,0.25,0.8,22321.77111,0.463,25.2,74.8,11,3.2,5736,1479,1555,1401,1301
1015,Calhoun,Alabama,115770.5,38.1,74.65,19.9,2.85,0.75,0.45,1.4,24610.49683,0.453,21.5,78.5,16.1,6.4,5071.5,1396,1224.5,1353.5,1097.5
1017,Chambers,Alabama,34459.5,40.1,58.95,37.95,1.45,0.35,0.2,1.05,23437.68032,0.425,28.2,71.8,10.8,3.7,5231.5,1451,1310.5,1348,1122
1019,Cherokee,Alabama,25208,43.9,92,5.1,1.2,0.15,0.55,1,26915.90349,0.439,26.6,73.4,10.5,4.2,5203.5,1470,1260.5,1325,1148
1021,Chilton,Alabama,42957.5,37.2,82.15,10,6.25,0.2,0.3,1.1,26935.60413,0.451,24.1,75.9,12.2,4.8,,,,,
1023,Choctaw,Alabama,14044,43.2,55.25,43.35,0.55,0.1,0.05,0.65,22625.57683,0.457,28.9,71.1,10.9,4.1,5294,1474,1340,1369,1111
